,country,series,log,diff_level,diff_order,regression,stationary,p_value
98,belgium,gdp,1,8,1,c,0,0.08391428364215592
99,belgium,gdp,1,8,2,c,1,0.014745015666559837
100,belgium,pop,0,0,1,c,0,0.9217587671143191
101,belgium,pop,0,0,2,c,0,0.9217587671143191
102,belgium,pop,0,1,1,c,1,0.025753777288121914
103,belgium,pop,0,1,2,c,1,8.574438712048433e-29
104,belgium,pop,0,2,1,c,0,0.14161643359196607
105,belgium,pop,0,2,2,c,1,0.022631425960100426
106,belgium,pop,0,4,1,c,0,0.26043562858156627
107,belgium,pop,0,4,2,c,0,0.4527530806277174
108,belgium,pop,0,8,1,c,0,0.3848933052348637
109,belgium,pop,0,8,2,c,0,0.5231980091420867
110,belgium,pop,1,0,1,c,0,0.8832516466541136
111,belgium,pop,1,0,2,c,0,0.8832516466541136
112,belgium,pop,1,1,1,c,1,0.02730244011582983
113,belgium,pop,1,1,2,c,1,9.033365449631321e-29
114,belgium,pop,1,2,1,c,0,0.15360092126490776
115,belgium,pop,1,2,2,c,1,0.024434421569244618
116,belgium,pop,1,4,1,c,0,0.2844336441453521
117,belgium,pop,1,4,2,c,0,0.45959529954315265
118,belgium,pop,1,8,1,c,0,0.42548933540438394
119,belgium,pop,1,8,2,c,0,0.5246962984479909
120,bulgaria,co2,0,0,1,c,1,0.0010647462202738995
121,bulgaria,co2,0,0,2,c,1,0.0010647462202738995
122,bulgaria,co2,0,1,1,c,1,0.02020990881978279
123,bulgaria,co2,0,1,2,c,1,5.378447354261913e-07
124,bulgaria,co2,0,2,1,c,1,0.0014892938765804456
125,bulgaria,co2,0,2,2,c,1,0.00034804144745261115
126,bulgaria,co2,0,4,1,c,1,0.0011951175218133702
127,bulgaria,co2,0,4,2,c,1,0.01891372309782712
128,bulgaria,co2,0,8,1,c,0,0.08975098814142302
129,bulgaria,co2,0,8,2,c,0,0.05810627790604477
130,bulgaria,co2,1,0,1,c,1,0.0004481048043956431
131,bulgaria,co2,1,0,2,c,1,0.0004481048043956431
132,bulgaria,co2,1,1,1,c,1,0.008047378323242215
133,bulgaria,co2,1,1,2,c,1,2.1985513387700255e-07
134,bulgaria,co2,1,2,1,c,1,0.001012802280508643
135,bulgaria,co2,1,2,2,c,1,0.00027849092564234337
136,bulgaria,co2,1,4,1,c,1,0.0008562433107792517
137,bulgaria,co2,1,4,2,c,1,0.02422191191447501
138,bulgaria,co2,1,8,1,c,0,0.09869491832198957
139,bulgaria,co2,1,8,2,c,0,0.08169383444894113
140,bulgaria,gdp,0,0,1,c,0,0.9972692663806831
141,bulgaria,gdp,0,0,2,c,0,0.9972692663806831
142,bulgaria,gdp,0,1,1,c,0,0.06502538375355538
143,bulgaria,gdp,0,1,2,c,1,1.0253898447097918e-06
144,bulgaria,gdp,0,2,1,c,0,0.8832047801657875
145,bulgaria,gdp,0,2,2,c,0,0.2782179186897532
146,bulgaria,gdp,0,4,1,c,0,0.7629273085291157
147,bulgaria,gdp,0,4,2,c,0,0.39621765794211206
148,bulgaria,gdp,0,8,1,c,0,0.8424145949889663
149,bulgaria,gdp,0,8,2,c,0,0.34027250788624275
150,bulgaria,gdp,1,0,1,c,0,0.6463749185501817
151,bulgaria,gdp,1,0,2,c,0,0.6463749185501817
152,bulgaria,gdp,1,1,1,c,1,0.012625563259625135
153,bulgaria,gdp,1,1,2,c,1,5.324313902145319e-07
154,bulgaria,gdp,1,2,1,c,0,0.6020950190203271
155,bulgaria,gdp,1,2,2,c,0,0.26925391111559005
156,bulgaria,gdp,1,4,1,c,0,0.4496283122829311
157,bulgaria,gdp,1,4,2,c,0,0.27212568047106594
158,bulgaria,gdp,1,8,1,c,0,0.533200034716696
159,bulgaria,gdp,1,8,2,c,0,0.19832552046204244
160,bulgaria,pop,0,0,1,c,0,0.9268373584897974
161,bulgaria,pop,0,0,2,c,0,0.9268373584897974
162,bulgaria,pop,0,1,1,c,1,4.40762016034055e-08
163,bulgaria,pop,0,1,2,c,1,1.034607138792551e-15
164,bulgaria,pop,0,2,1,c,1,0.015186589561885112
165,bulgaria,pop,0,2,2,c,1,0.0006163521268510551
166,bulgaria,pop,0,4,1,c,1,0.012648051998414797
167,bulgaria,pop,0,4,2,c,1,0.00018743951464923563
168,bulgaria,pop,0,8,1,c,1,5.524708533661373e-06
169,bulgaria,pop,0,8,2,c,1,0.04647980242167158
170,bulgaria,pop,1,0,1,c,0,0.5257834428297828
171,bulgaria,pop,1,0,2,c,0,0.5257834428297828
172,bulgaria,pop,1,1,1,c,1,0.0013273758608547768
173,bulgaria,pop,1,1,2,c,1,2.557362175932618e-15
174,bulgaria,pop,1,2,1,c,1,0.015812756505208542
175,bulgaria,pop,1,2,2,c,1,0.0006454131157431223
176,bulgaria,pop,1,4,1,c,1,0.011276504498237088
177,bulgaria,pop,1,4,2,c,1,0.00019220443461405052
178,bulgaria,pop,1,8,1,c,1,2.3487823333535732e-05
179,bulgaria,pop,1,8,2,c,0,0.05057794023957432
180,croatia,co2,0,0,1,c,0,0.6868771509668945
181,croatia,co2,0,0,2,c,0,0.6868771509668945
182,croatia,co2,0,1,1,c,0,0.0527637997448667
183,croatia,co2,0,1,2,c,1,3.192032730611973e-13
184,croatia,co2,0,2,1,c,0,0.056630453551832945
185,croatia,co2,0,2,2,c,1,4.490002974503022e-06
186,croatia,co2,0,4,1,c,0,0.05146555516143414
187,croatia,co2,0,4,2,c,1,0.003255044592010069
188,croatia,co2,0,8,1,c,0,0.3296261144371374
189,croatia,co2,0,8,2,c,1,0.0019004352102330285
190,croatia,co2,1,0,1,c,0,0.6595446663060606
191,croatia,co2,1,0,2,c,0,0.6595446663060606
192,croatia,co2,1,1,1,c,0,0.0745857972187364
193,croatia,co2,1,1,2,c,1,1.4439619325926342e-11
194,croatia,co2,1,2,1,c,0,0.08914740739271054
195,croatia,co2,1,2,2,c,1,1.389691323909687e-05
196,croatia,co2,1,4,1,c,0,0.08245539691272319
197,croatia,co2,1,4,2,c,1,0.0029353052802978804
198,croatia,co2,1,8,1,c,0,0.3649222346488422
199,croatia,co2,1,8,2,c,0,0.2530804738314011
200,croatia,gdp,0,0,1,c,0,0.9792214877569182
201,croatia,gdp,0,0,2,c,0,0.9792214877569182
202,croatia,gdp,0,1,1,c,1,0.0035723245983530355
203,croatia,gdp,0,1,2,c,1,1.8168537370440883e-08
204,croatia,gdp,0,2,1,c,0,0.1014092020550425
205,croatia,gdp,0,2,2,c,1,0.0042223379878071066
206,croatia,gdp,0,4,1,c,0,0.7950721664385659
207,croatia,gdp,0,4,2,c,0,0.3172463451552414
208,croatia,gdp,0,8,1,c,0,0.7801441514371346
209,croatia,gdp,0,8,2,c,0,0.7629546558595075
210,croatia,gdp,1,0,1,c,0,0.701219962684718
211,croatia,gdp,1,0,2,c,0,0.701219962684718
212,croatia,gdp,1,1,1,c,1,0.004194360382559479
213,croatia,gdp,1,1,2,c,1,1.2991307985583106e-08
214,croatia,gdp,1,2,1,c,0,0.10136926647901257
215,croatia,gdp,1,2,2,c,1,0.004159315197184877
216,croatia,gdp,1,4,1,c,0,0.6852526698236471
217,croatia,gdp,1,4,2,c,0,0.2931734383540716
218,croatia,gdp,1,8,1,c,0,0.6645659996795203
219,croatia,gdp,1,8,2,c,0,0.7026532106862878
220,croatia,pop,0,0,1,c,0,1.0
221,croatia,pop,0,0,2,c,0,1.0
222,croatia,pop,0,1,1,c,1,5.232792421894895e-29
223,croatia,pop,0,1,2,c,1,3.1906992965851394e-16
224,croatia,pop,0,2,1,c,1,1.4896077745486017e-27
225,croatia,pop,0,2,2,c,1,7.60775389981505e-21
226,croatia,pop,0,4,1,c,0,0.5831675588044961
227,croatia,pop,0,4,2,c,0,0.5771821696991316
228,croatia,pop,0,8,1,c,0,0.34797290352476945
229,croatia,pop,0,8,2,c,0,0.13093259975825772
230,croatia,pop,1,0,1,c,0,1.0
231,croatia,pop,1,0,2,c,0,1.0
232,croatia,pop,1,1,1,c,1,4.182319784448538e-28
233,croatia,pop,1,1,2,c,1,6.869478401858478e-17
234,croatia,pop,1,2,1,c,1,2.177349345231191e-26
235,croatia,pop,1,2,2,c,1,1.0525380825915688e-20
236,croatia,pop,1,4,1,c,0,0.5882053375326222
237,croatia,pop,1,4,2,c,0,0.5747683818420858
238,croatia,pop,1,8,1,c,0,0.3605344160769964
239,croatia,pop,1,8,2,c,0,0.13496180057978785
240,czech republic,co2,0,0,1,c,0,0.8220224929093007
241,czech republic,co2,0,0,2,c,0,0.8220224929093007
242,czech republic,co2,0,1,1,c,0,0.09770166581496037
243,czech republic,co2,0,1,2,c,1,5.0203790366234775e-08
244,czech republic,co2,0,2,1,c,0,0.08748085150994422
245,czech republic,co2,0,2,2,c,1,0.0067355252590683345
246,czech republic,co2,0,4,1,c,0,0.07416231601114248
247,czech republic,co2,0,4,2,c,0,0.0739264685430118
248,czech republic,co2,0,8,1,c,0,0.05304669754191104
249,czech republic,co2,0,8,2,c,1,0.03858674629658321
250,czech republic,co2,1,0,1,c,0,0.8779052301201877
251,czech republic,co2,1,0,2,c,0,0.8779052301201877
252,czech republic,co2,1,1,1,c,1,2.1332056039393056e-06
253,czech republic,co2,1,1,2,c,1,2.1172895096578546e-07
254,czech republic,co2,1,2,1,c,0,0.08571433021984326
255,czech republic,co2,1,2,2,c,1,0.006083552906305383
256,czech republic,co2,1,4,1,c,0,0.0772946212601623
257,czech republic,co2,1,4,2,c,0,0.08489709706260545
258,czech republic,co2,1,8,1,c,0,0.11068102090016407
259,czech republic,co2,1,8,2,c,0,0.08027755164881956
260,czech republic,gdp,0,0,1,c,0,0.9984912695309615
261,czech republic,gdp,0,0,2,c,0,0.9984912695309615
262,czech republic,gdp,0,1,1,c,1,0.003600548219391565
263,czech republic,gdp,0,1,2,c,1,7.256554213530355e-14
264,czech republic,gdp,0,2,1,c,0,0.1074097478830392
265,czech republic,gdp,0,2,2,c,1,0.0001526058407869687
266,czech republic,gdp,0,4,1,c,0,0.8154005099151076
267,czech republic,gdp,0,4,2,c,0,0.523269732180679
268,czech republic,gdp,0,8,1,c,0,0.6252963037696299
269,czech republic,gdp,0,8,2,c,0,0.07801356500481688
270,czech republic,gdp,1,0,1,c,0,0.9059191777324554
271,czech republic,gdp,1,0,2,c,0,0.9059191777324554
272,czech republic,gdp,1,1,1,c,1,0.00022012725016094754
273,czech republic,gdp,1,1,2,c,1,1.8339887504266467e-13
274,czech republic,gdp,1,2,1,c,1,0.0067838538873529
275,czech republic,gdp,1,2,2,c,1,0.00019910458231976914
