series,log,diff_level1,diff_level2,regression,stationary,p_value
co2,0,0,0,c,0.10526315789473684,0.6964943887103686
co2,0,0,0,ct,0.058823529411764705,0.4185911952528201
co2,0,0,0,ctt,0.0,0.644790030788073
co2,0,0,0,n,0.0,0.33935277583695317
co2,0,0,1,c,0.6842105263157895,0.08529385108442511
co2,0,0,1,ct,0.0,0.4929926224007987
co2,0,0,1,ctt,0.16666666666666666,0.33636237329860114
co2,0,0,1,n,0.6,0.054553874016880055
co2,0,0,2,c,0.5263157894736842,0.12966903039801408
co2,0,0,2,ct,0.0,0.46933624198174445
co2,0,0,2,ctt,0.2222222222222222,0.298730224966202
co2,0,0,2,n,0.5714285714285714,0.0662495279550935
co2,0,0,4,c,0.5789473684210527,0.10017660555696432
co2,0,0,4,ct,0.125,0.3825079859878102
co2,0,0,4,ctt,0.14285714285714285,0.3895609966352592
co2,0,0,4,n,0.6666666666666666,0.05134830213435102
co2,0,0,8,c,0.3684210526315789,0.14078502224254902
co2,0,0,8,ct,0.08333333333333333,0.4704272618721696
co2,0,0,8,ctt,0.2727272727272727,0.39433890596859605
co2,0,0,8,n,0.25,0.11347818534577754
co2,0,1,0,c,0.6842105263157895,0.08529385108442511
co2,0,1,0,ct,0.0,0.4929926224007987
co2,0,1,0,ctt,0.16666666666666666,0.33636237329860114
co2,0,1,0,n,0.6,0.054553874016880055
co2,0,1,1,c,1.0,1.2660056071333034e-06
co2,0,1,2,c,0.9473684210526315,0.010795275105443662
co2,0,1,2,ct,0.0,0.440218395604189
co2,0,1,2,ctt,0.0,0.686735802364871
co2,0,1,2,n,1.0,0.019451037195141737
co2,0,1,4,c,0.9473684210526315,0.00946492304808203
co2,0,1,4,ct,0.0,0.4131898065598072
co2,0,1,4,ctt,0.0,0.6603485896381265
co2,0,1,4,n,1.0,0.017070909003835972
co2,0,1,8,c,0.9473684210526315,0.021272091118037243
co2,0,1,8,ct,0.0,0.6600984919105706
co2,0,1,8,ctt,0.0,0.8538691098350504
co2,0,1,8,n,1.0,0.045947899594508144
co2,0,2,0,c,0.5263157894736842,0.12966903039801408
co2,0,2,0,ct,0.0,0.46933624198174445
co2,0,2,0,ctt,0.2222222222222222,0.298730224966202
co2,0,2,0,n,0.5714285714285714,0.0662495279550935
co2,0,2,1,c,0.9473684210526315,0.010795275105443662
co2,0,2,1,ct,0.0,0.440218395604189
co2,0,2,1,ctt,0.0,0.686735802364871
co2,0,2,1,n,1.0,0.019451037195141737
co2,0,2,2,c,0.9473684210526315,0.020201174421099817
co2,0,2,2,ct,0.0,0.660877724063366
co2,0,2,2,ctt,0.0,0.8391331825153671
co2,0,2,2,n,0.0,0.05278585018693534
co2,0,2,4,c,0.8947368421052632,0.025010797178216918
co2,0,2,4,ct,0.0,0.42652916632371607
co2,0,2,4,ctt,0.0,0.6860009891799299
co2,0,2,4,n,1.0,0.0284947640158969
co2,0,2,8,c,0.6842105263157895,0.05538065317842637
co2,0,2,8,ct,0.0,0.33147257320147855
co2,0,2,8,ctt,0.0,0.47094160659861434
co2,0,2,8,n,0.8333333333333334,0.02135392225852302
co2,0,4,0,c,0.5789473684210527,0.10017660555696432
co2,0,4,0,ct,0.125,0.3825079859878102
co2,0,4,0,ctt,0.14285714285714285,0.3895609966352592
co2,0,4,0,n,0.6666666666666666,0.05134830213435102
co2,0,4,1,c,0.9473684210526315,0.00946492304808203
co2,0,4,1,ct,0.0,0.4131898065598072
co2,0,4,1,ctt,0.0,0.6603485896381265
co2,0,4,1,n,1.0,0.017070909003835972
co2,0,4,2,c,0.8947368421052632,0.025010797178216918
co2,0,4,2,ct,0.0,0.42652916632371607
co2,0,4,2,ctt,0.0,0.6860009891799299
co2,0,4,2,n,1.0,0.0284947640158969
co2,0,4,4,c,0.7368421052631579,0.05546544082499143
co2,0,4,4,ct,0.0,0.41022262055604425
co2,0,4,4,ctt,0.0,0.5566423337917068
co2,0,4,4,n,0.8,0.03155762106266462
co2,0,4,8,c,0.47368421052631576,0.09759706537324705
co2,0,4,8,ct,0.0,0.38766402268281563
co2,0,4,8,ctt,0.0,0.5724831541082558
co2,0,4,8,n,0.8,0.02758953063493575
co2,0,8,0,c,0.3684210526315789,0.14078502224254902
co2,0,8,0,ct,0.08333333333333333,0.4704272618721696
co2,0,8,0,ctt,0.2727272727272727,0.39433890596859605
co2,0,8,0,n,0.25,0.11347818534577754
co2,0,8,1,c,0.9473684210526315,0.021272091118037243
co2,0,8,1,ct,0.0,0.6600984919105706
co2,0,8,1,ctt,0.0,0.8538691098350504
co2,0,8,1,n,1.0,0.045947899594508144
co2,0,8,2,c,0.6842105263157895,0.05538065317842637
co2,0,8,2,ct,0.0,0.33147257320147855
co2,0,8,2,ctt,0.0,0.47094160659861434
co2,0,8,2,n,0.8333333333333334,0.02135392225852302
co2,0,8,4,c,0.47368421052631576,0.09759706537324705
co2,0,8,4,ct,0.0,0.38766402268281563
co2,0,8,4,ctt,0.0,0.5724831541082558
co2,0,8,4,n,0.8,0.02758953063493575
co2,0,8,8,c,0.3157894736842105,0.10513010150341155
co2,0,8,8,ct,0.15384615384615385,0.24381308261957738
co2,0,8,8,ctt,0.0,0.5607404823042912
co2,0,8,8,n,0.9090909090909091,0.01823150689580968
co2,1,0,0,c,0.10526315789473684,0.6667556721910899
co2,1,0,0,ct,0.058823529411764705,0.40706458242139504
co2,1,0,0,ctt,0.0,0.6341355973536831
co2,1,0,0,n,0.0,0.35771825548638597
co2,1,0,1,c,0.5263157894736842,0.14121737416139157
co2,1,0,1,ct,0.0,0.5094940627064946
co2,1,0,1,ctt,0.2222222222222222,0.4752788842039407
co2,1,0,1,n,0.5714285714285714,0.08194167008343908
co2,1,0,2,c,0.47368421052631576,0.13996245193207732
co2,1,0,2,ct,0.0,0.4701946112005092
co2,1,0,2,ctt,0.1,0.42633212672989995
co2,1,0,2,n,0.7777777777777778,0.06762621692658644
co2,1,0,4,c,0.47368421052631576,0.11380690762903856
co2,1,0,4,ct,0.0,0.41260649801944493
co2,1,0,4,ctt,0.2,0.38612122481260014
co2,1,0,4,n,0.875,0.05411962225697304
co2,1,0,8,c,0.2631578947368421,0.16021469451017759
co2,1,0,8,ct,0.07142857142857142,0.47888590772701123
co2,1,0,8,ctt,0.15384615384615385,0.37474485463804535
co2,1,0,8,n,0.5454545454545454,0.08264007262780008
co2,1,1,0,c,0.5263157894736842,0.14121737416139157
co2,1,1,0,ct,0.0,0.5094940627064946
co2,1,1,0,ctt,0.2222222222222222,0.4752788842039407
co2,1,1,0,n,0.5714285714285714,0.08194167008343908
co2,1,1,1,c,1.0,1.7281164855522773e-05
co2,1,1,2,c,0.9473684210526315,0.012764561264405918
co2,1,1,2,ct,0.0,0.4991738574200441
co2,1,1,2,ctt,0.0,0.7344439675061439
co2,1,1,2,n,1.0,0.02577167603093387
co2,1,1,4,c,0.9473684210526315,0.010315176181541881
co2,1,1,4,ct,0.0,0.4743176524054132
co2,1,1,4,ctt,0.0,0.7123529560378792
co2,1,1,4,n,1.0,0.023044740491759644
co2,1,1,8,c,0.7894736842105263,0.04449467366766971
co2,1,1,8,ct,0.0,0.3893546082608884
co2,1,1,8,ctt,0.0,0.6123873929832037
