,country,series,log,diff_level,regression,stationary,p_value
72,czech republic,co2,0,0,c,0,0.8720445617443309
73,czech republic,co2,0,1,c,1,4.673422173693391e-27
74,czech republic,co2,0,2,c,1,9.971971680753501e-05
75,czech republic,co2,1,0,c,0,0.8924541468734103
76,czech republic,co2,1,1,c,1,3.999096077646166e-27
77,czech republic,co2,1,2,c,1,0.0002820326243088326
78,czech republic,gdp,0,0,c,0,0.9971612574755392
79,czech republic,gdp,0,1,c,0,0.19329938914817751
80,czech republic,gdp,0,2,c,0,0.18700228004341263
81,czech republic,gdp,1,0,c,0,0.9306403178613201
82,czech republic,gdp,1,1,c,1,0.04499578119321083
83,czech republic,gdp,1,2,c,1,0.011086097737453525
84,czech republic,pop,0,0,c,0,0.7175640870943683
85,czech republic,pop,0,1,c,1,0.09663081028928627
86,czech republic,pop,0,2,c,0,0.11821276235102995
87,czech republic,pop,1,0,c,0,0.6976121957111645
88,czech republic,pop,1,1,c,1,0.0926930371225716
89,czech republic,pop,1,2,c,0,0.11393280556609342
90,france,co2,0,0,c,0,0.8432312902896562
91,france,co2,0,1,c,1,2.4080163284132854e-30
92,france,co2,0,2,c,1,0.0
93,france,co2,1,0,c,0,0.8064494025245017
94,france,co2,1,1,c,1,3.488944496845221e-11
95,france,co2,1,2,c,1,0.00015981546354914563
96,france,gdp,0,0,c,0,0.9984677781503267
97,france,gdp,0,1,c,0,0.1651091842018862
98,france,gdp,0,2,c,0,0.19331389277479066
99,france,gdp,1,0,c,0,0.9845711860032714
100,france,gdp,1,1,c,1,0.013079927213296528
101,france,gdp,1,2,c,1,0.013997478042073538
102,france,pop,0,0,c,1,0.004924953874168653
103,france,pop,0,1,c,0,0.6117219621317014
104,france,pop,0,2,c,0,0.8118872722687103
105,france,pop,1,0,c,1,0.0046189595730193106
106,france,pop,1,1,c,0,0.6911055253195953
107,france,pop,1,2,c,0,0.8234949052435214
108,germany,co2,0,0,c,0,0.8156314059944436
109,germany,co2,0,1,c,1,2.090270932943522e-23
110,germany,co2,0,2,c,1,3.596719383612453e-14
111,germany,co2,1,0,c,0,0.6531890820759072
112,germany,co2,1,1,c,1,4.066344697897301e-09
113,germany,co2,1,2,c,1,1.3102588488789375e-13
114,germany,gdp,0,0,c,0,0.9967228921292471
115,germany,gdp,0,1,c,1,0.007651151625322601
116,germany,gdp,0,2,c,1,0.010906946092586479
117,germany,gdp,1,0,c,0,0.9623086265462958
118,germany,gdp,1,1,c,1,0.001589182347644912
119,germany,gdp,1,2,c,1,0.0009405277981369137
120,germany,pop,0,0,c,0,0.28480101923948975
121,germany,pop,0,1,c,0,0.6074098483116084
122,germany,pop,0,2,c,0,0.565879162419846
123,germany,pop,1,0,c,0,0.27448173575121004
124,germany,pop,1,1,c,0,0.6090960915296303
125,germany,pop,1,2,c,0,0.5664575874648248
126,greece,co2,0,0,c,0,0.9929949160145161
127,greece,co2,0,1,c,1,4.955408793956976e-07
128,greece,co2,0,2,c,1,2.3580297157327374e-07
129,greece,co2,1,0,c,0,0.9959512096439141
130,greece,co2,1,1,c,1,3.244157371847362e-06
131,greece,co2,1,2,c,1,1.724377180662668e-06
132,greece,gdp,0,0,c,0,0.1769967536205166
133,greece,gdp,0,1,c,0,0.17272562953297127
134,greece,gdp,0,2,c,0,0.2782471343309677
135,greece,gdp,1,0,c,0,0.14313700318247635
136,greece,gdp,1,1,c,0,0.24560265509336737
137,greece,gdp,1,2,c,0,0.2671214403070241
138,greece,pop,0,0,c,0,0.39475812704828367
139,greece,pop,0,1,c,0,0.4064486503458012
140,greece,pop,0,2,c,0,0.36554193477069863
141,greece,pop,1,0,c,0,0.39402589054914733
142,greece,pop,1,1,c,0,0.40789382622466697
143,greece,pop,1,2,c,0,0.36746664453047795
144,hungary,co2,0,0,c,0,0.20123550342013957
145,hungary,co2,0,1,c,1,5.299798221484728e-06
146,hungary,co2,0,2,c,1,6.95876356498454e-06
147,hungary,co2,1,0,c,0,0.23061151356312365
148,hungary,co2,1,1,c,1,2.5719418765670858e-05
149,hungary,co2,1,2,c,1,3.349047200597738e-05
150,hungary,gdp,0,0,c,0,0.9979638947401384
151,hungary,gdp,0,1,c,1,0.013045796921539503
152,hungary,gdp,0,2,c,0,0.357555000820365
153,hungary,gdp,1,0,c,0,0.9239248383389944
154,hungary,gdp,1,1,c,1,0.0049185171240791305
155,hungary,gdp,1,2,c,1,0.0110591400339738
156,hungary,pop,0,0,c,0,0.7009122445706361
157,hungary,pop,0,1,c,0,0.20653987412522906
158,hungary,pop,0,2,c,0,0.41675272957173487
159,hungary,pop,1,0,c,0,0.7203497240071529
160,hungary,pop,1,1,c,0,0.20339180617745378
161,hungary,pop,1,2,c,0,0.4110775945759919
162,ireland,co2,0,0,c,0,0.8092625753849187
163,ireland,co2,0,1,c,1,1.3765943142774425e-27
164,ireland,co2,0,2,c,1,1.9704574399249275e-07
165,ireland,co2,1,0,c,0,0.8064413396445875
166,ireland,co2,1,1,c,1,3.1463084376029094e-07
167,ireland,co2,1,2,c,1,5.333856122867015e-07
168,ireland,gdp,0,0,c,0,0.997177172466344
169,ireland,gdp,0,1,c,1,0.013928266639057106
170,ireland,gdp,0,2,c,1,0.007816495774259288
171,ireland,gdp,1,0,c,0,0.9729177774281822
172,ireland,gdp,1,1,c,1,0.007816493958686534
173,ireland,gdp,1,2,c,1,0.00421637173849043
174,ireland,pop,0,0,c,0,0.5696460018951832
175,ireland,pop,0,1,c,0,0.4691331339955824
176,ireland,pop,0,2,c,0,0.40580979870954004
177,ireland,pop,1,0,c,0,0.4418806061290066
178,ireland,pop,1,1,c,0,0.5296528846770203
179,ireland,pop,1,2,c,0,0.4731848539713869
180,italy,co2,0,0,c,0,0.9522967574295369
181,italy,co2,0,1,c,1,1.4872521272306539e-06
182,italy,co2,0,2,c,1,0.00640668167852026
183,italy,co2,1,0,c,0,0.9636926341811758
184,italy,co2,1,1,c,1,0.011776190092827137
185,italy,co2,1,2,c,1,0.01325493635101052
186,italy,gdp,0,0,c,0,0.9721508430110175
187,italy,gdp,0,1,c,1,0.0075955524087794445
188,italy,gdp,0,2,c,1,0.005723353834154871
189,italy,gdp,1,0,c,0,0.9163830997628575
190,italy,gdp,1,1,c,1,0.03705718831649769
191,italy,gdp,1,2,c,1,0.003735786439337196
192,italy,pop,0,0,c,1,0.08023848871908068
193,italy,pop,0,1,c,0,0.6441695979249666
194,italy,pop,0,2,c,0,0.5779119484633788
195,italy,pop,1,0,c,1,0.07695668892286496
196,italy,pop,1,1,c,0,0.6342113324394439
197,italy,pop,1,2,c,0,0.568700932453985
198,lithuania,co2,0,0,c,0,0.4338158391751894
199,lithuania,co2,0,1,c,1,6.638843480246555e-05
200,lithuania,co2,0,2,c,1,0.00010526507907568119
201,lithuania,co2,1,0,c,0,0.3859010231877846
202,lithuania,co2,1,1,c,1,0.00018292206432340814
203,lithuania,co2,1,2,c,1,0.0002923537750746475
204,lithuania,gdp,0,0,c,0,0.9824497114219248
205,lithuania,gdp,0,1,c,1,0.0028806698897409226
206,lithuania,gdp,0,2,c,1,0.0023992362489381664
207,lithuania,gdp,1,0,c,0,0.6143968656304932
208,lithuania,gdp,1,1,c,1,0.002309024151662107
209,lithuania,gdp,1,2,c,1,0.001010097161697262
210,lithuania,pop,0,0,c,0,0.4786397613592761
211,lithuania,pop,0,1,c,0,0.5658113250935615
212,lithuania,pop,0,2,c,0,0.56469802067178
213,lithuania,pop,1,0,c,0,0.5632739100450413
214,lithuania,pop,1,1,c,0,0.50196838294172
215,lithuania,pop,1,2,c,0,0.5006587068144424
216,netherlands,co2,0,0,c,0,0.1885464212538775
217,netherlands,co2,0,1,c,1,3.98855579155259e-09
218,netherlands,co2,0,2,c,1,1.495602197870482e-14
219,netherlands,co2,1,0,c,0,0.2030637046837218
220,netherlands,co2,1,1,c,1,1.8178212517161128e-08
221,netherlands,co2,1,2,c,1,6.0915914639257665e-09
222,netherlands,gdp,0,0,c,0,0.9935348031991622
223,netherlands,gdp,0,1,c,1,0.009813544321118447
224,netherlands,gdp,0,2,c,0,0.18077613597393238
225,netherlands,gdp,1,0,c,0,0.9474585556008142
226,netherlands,gdp,1,1,c,1,0.0030504536483506196
227,netherlands,gdp,1,2,c,0,0.10280421337294227
228,netherlands,pop,0,0,c,0,0.9990241819116477
229,netherlands,pop,0,1,c,1,0.06796236799025168
230,netherlands,pop,0,2,c,1,0.02615544453434181
231,netherlands,pop,1,0,c,0,0.9989560236363779
232,netherlands,pop,1,1,c,1,0.03610849128503966
233,netherlands,pop,1,2,c,1,0.011852058759670981
234,portugal,co2,0,0,c,0,0.7409183746621445
235,portugal,co2,0,1,c,1,6.467349037826046e-11
236,portugal,co2,0,2,c,1,1.7095188623772347e-10
237,portugal,co2,1,0,c,0,0.7627051633904723
238,portugal,co2,1,1,c,1,5.959727169220048e-08
239,portugal,co2,1,2,c,1,6.048760812764517e-11
240,portugal,gdp,0,0,c,0,0.9955705859411097
241,portugal,gdp,0,1,c,1,0.039674914313692626
242,portugal,gdp,0,2,c,0,0.29431934088676254
243,portugal,gdp,1,0,c,0,0.9697274823409475
244,portugal,gdp,1,1,c,1,0.009406041390804398
245,portugal,gdp,1,2,c,0,0.11174225924838449
246,portugal,pop,0,0,c,0,0.3056445991762192
247,portugal,pop,0,1,c,0,0.2405422006098249
248,portugal,pop,0,2,c,0,0.2746483607025926
249,portugal,pop,1,0,c,0,0.3179056405186196
250,portugal,pop,1,1,c,0,0.22837619587769753
251,portugal,pop,1,2,c,0,0.26748049373459937
252,romania,co2,0,0,c,0,0.6890666671002144
253,romania,co2,0,1,c,1,4.3162991529499284e-05
254,romania,co2,0,2,c,1,7.62397949102966e-05
