,country,series,log,diff_level1,diff_level2,regression,stationary,p_value
0,austria,co2,0,0,0,c,1,0.011462712116901372
1,austria,co2,0,0,1,c,1,3.581313014325729e-08
2,austria,co2,0,0,2,c,1,0.0013269840417656066
3,austria,co2,0,0,12,c,1,2.1743122021032043e-06
4,austria,co2,0,0,24,c,1,5.200482712406863e-07
5,austria,co2,0,1,0,c,1,3.581313014325729e-08
6,austria,co2,0,1,1,c,1,3.646320915462332e-19
7,austria,co2,0,1,2,c,1,5.253124205749956e-20
8,austria,co2,0,1,12,c,1,4.1454034288665976e-08
9,austria,co2,0,1,24,c,1,4.691700506677122e-15
10,austria,co2,0,2,0,c,1,0.0013269840417656066
11,austria,co2,0,2,1,c,1,5.253124205749956e-20
12,austria,co2,0,2,2,c,1,1.774346168569797e-18
13,austria,co2,0,2,12,c,1,8.513152727648944e-08
14,austria,co2,0,2,24,c,1,6.357901522890311e-05
15,austria,co2,0,12,0,c,1,2.1743122021032043e-06
16,austria,co2,0,12,1,c,1,4.1454034288665976e-08
17,austria,co2,0,12,2,c,1,8.513152727648944e-08
18,austria,co2,0,12,12,c,1,1.6965018099695383e-10
19,austria,co2,0,12,24,c,1,0.0006866676354622244
20,austria,co2,0,24,0,c,1,5.200482712406863e-07
21,austria,co2,0,24,1,c,1,4.691700506677122e-15
22,austria,co2,0,24,2,c,1,6.357901522890311e-05
23,austria,co2,0,24,12,c,1,0.0006866676354622244
24,austria,co2,0,24,24,c,1,6.201424482104115e-08
25,austria,co2,1,0,0,c,1,0.006066481579196283
26,austria,co2,1,0,1,c,1,5.676759029971404e-07
27,austria,co2,1,0,2,c,1,2.608261742782424e-05
28,austria,co2,1,0,12,c,1,1.9533377941597747e-05
29,austria,co2,1,0,24,c,1,3.7301004231768774e-06
30,austria,co2,1,1,0,c,1,5.676759029971404e-07
31,austria,co2,1,1,1,c,1,2.3477977237544843e-18
32,austria,co2,1,1,2,c,1,3.080767237929311e-19
33,austria,co2,1,1,12,c,1,6.433300828078645e-08
34,austria,co2,1,1,24,c,1,1.6037191961283322e-11
35,austria,co2,1,2,0,c,1,2.608261742782424e-05
36,austria,co2,1,2,1,c,1,3.080767237929311e-19
37,austria,co2,1,2,2,c,1,1.3156747018598581e-17
38,austria,co2,1,2,12,c,1,4.122958175161826e-07
39,austria,co2,1,2,24,c,1,9.144016686504682e-05
40,austria,co2,1,12,0,c,1,1.9533377941597747e-05
41,austria,co2,1,12,1,c,1,6.433300828078645e-08
42,austria,co2,1,12,2,c,1,4.122958175161826e-07
43,austria,co2,1,12,12,c,1,1.3545058160946062e-06
44,austria,co2,1,12,24,c,1,0.001082940336083517
45,austria,co2,1,24,0,c,1,3.7301004231768774e-06
46,austria,co2,1,24,1,c,1,1.6037191961283322e-11
47,austria,co2,1,24,2,c,1,9.144016686504682e-05
48,austria,co2,1,24,12,c,1,0.001082940336083517
49,austria,co2,1,24,24,c,1,1.894458539702808e-07
50,austria,gdp,0,0,0,c,0,0.9978638741674273
51,austria,gdp,0,0,0,ct,0,0.9766294437878773
52,austria,gdp,0,0,0,ctt,0,0.6299354405875011
53,austria,gdp,0,0,0,n,0,0.9999753005183855
