date,unempl
2000-01-01,
2000-02-01,0.013605652055778794
2000-03-01,0.0134230203321406
2000-04-01,0.019802627296179764
2000-05-01,0.012987195526811046
2000-06-01,0.012820688429061589
2000-07-01,0.006349227678658753
2000-08-01,0.012578782206859929
2000-09-01,0.006230549750636083
2000-10-01,0.012345835822299422
2000-11-01,0.012195273093818404
2000-12-01,-0.012195273093818404
2001-01-01,0.0
2001-02-01,-0.006153865574378248
2001-03-01,-0.006191970247921175
2001-04-01,0.0
2001-05-01,-0.012500162764231382
2001-06-01,-0.00630916919326463
2001-07-01,0.00630916919326463
2001-08-01,-0.00630916919326463
2001-09-01,0.0
2001-10-01,-0.006349227678658753
2001-11-01,-0.006389798098771049
2001-12-01,0.006389798098771049
2002-01-01,0.006349227678658753
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,-0.012739025777429802
2002-05-01,-0.00643089033029054
2002-06-01,0.0
2002-07-01,-0.012987195526811046
2002-08-01,-0.0065574005461590534
2002-09-01,-0.013245226750020711
2002-10-01,-0.020202707317519497
2002-11-01,-0.013698844358161821
2002-12-01,-0.006920442844573715
2003-01-01,-0.013986241974740077
2003-02-01,-0.007067167223092419
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,-0.007117467768863905
2003-06-01,0.007117467768863905
2003-07-01,-0.007117467768863905
2003-08-01,0.0
2003-09-01,0.0
2003-10-01,-0.007168489478612372
2003-11-01,0.014285957247476277
2003-12-01,0.0
2004-01-01,-0.007117467768863905
2004-02-01,0.0
2004-03-01,0.007117467768863905
2004-04-01,-0.007117467768863905
2004-05-01,-0.007168489478612372
2004-06-01,0.0
2004-07-01,-0.007220247973487082
2004-08-01,0.0
2004-09-01,-0.007272759329080003
2004-10-01,0.0
2004-11-01,-0.0073260400920727164
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,-0.007380107297622729
2005-03-01,0.0
2005-04-01,-0.014925650216675468
2005-05-01,-0.007547205635383136
2005-06-01,0.0
2005-07-01,-0.015267472130788384
2005-08-01,-0.007722046093910251
2005-09-01,-0.01562531790308075
2005-10-01,-0.007905179507113225
2005-11-01,0.0
2005-12-01,-0.007968169649176904
2006-01-01,-0.016129381929883557
2006-02-01,-0.008163310639161203
2006-03-01,-0.008230499136515412
2006-04-01,-0.008298802814695083
2006-05-01,-0.016807118316381153
2006-06-01,-0.0085106896679088
2006-07-01,-0.02597548640326064
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,-0.017699577099401065
2006-11-01,-0.008968669982760247
2006-12-01,-0.018182319083190457
2007-01-01,-0.03738753207162038
2007-02-01,-0.019231361927887658
2007-03-01,-0.009756174945364737
2007-04-01,-0.01980262729617932
2007-05-01,-0.010050335853501569
2007-06-01,0.0
2007-07-01,0.0492710490067827
2007-08-01,0.0
2007-09-01,-0.06967992063799011
2007-10-01,-0.02083408690284161
2007-11-01,-0.010582109330536937
2007-12-01,-0.010695289116747997
2008-01-01,-0.021739986636406083
2008-02-01,-0.022223136784710107
2008-03-01,-0.011299555253933224
2008-04-01,-0.011428695823623158
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,-0.01156082240107592
2008-08-01,-0.011696039763191113
2008-09-01,0.0
2008-10-01,-0.023810648693718406
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.011976191046715545
2009-02-01,0.01183445764700286
2009-03-01,0.023256862164267034
2009-04-01,0.03390155167568132
2009-05-01,0.032789822822991255
2009-06-01,0.010695289116747997
2009-07-01,0.010582109330536937
2009-08-01,0.0
2009-09-01,0.02083408690284161
2009-10-01,0.020408871631207415
2009-11-01,0.010050335853501569
2009-12-01,0.009950330853167877
2010-01-01,0.02927038230011325
2010-02-01,0.028437935320533292
2010-03-01,0.018519047767237673
2010-04-01,0.03603993648319692
2010-05-01,0.017544309650909362
2010-06-01,0.025752496102414923
2010-07-01,0.008438868645864517
2010-08-01,0.01666705248521172
2010-09-01,0.016393809775676615
2010-10-01,0.032002731086173686
2010-11-01,0.007843177461025697
2010-12-01,0.007782140442055052
2011-01-01,0.022989518224698635
2011-02-01,0.0
2011-03-01,0.007547205635383136
2011-04-01,-0.007547205635383136
2011-05-01,0.022472855852058604
2011-06-01,0.014706147389695445
2011-07-01,0.021661496781179457
2011-08-01,0.0
2011-09-01,-0.007168489478612372
2011-10-01,0.0
2011-11-01,0.007168489478612372
2011-12-01,0.014184634991956324
2012-01-01,0.027779564107075716
2012-02-01,0.013605652055778794
2012-03-01,0.0134230203321406
2012-04-01,0.013245226750020711
2012-05-01,0.0065574005461590534
2012-06-01,0.012987195526811046
2012-07-01,0.02547908530098497
2012-08-01,0.012500162764231382
2012-09-01,0.012345835822299422
2012-10-01,0.018237587549780887
2012-11-01,0.011976191046715767
2012-12-01,0.01183445764700286
2013-01-01,0.017493157447517227
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,0.011494379425735168
2013-05-01,-0.005730674708985362
2013-06-01,-0.005763704716749807
2013-07-01,-0.005797117684326114
2013-08-01,0.0
2013-09-01,0.01156082240107592
2013-10-01,0.005730674708985362
2013-11-01,0.005698021114637575
2013-12-01,0.0
2014-01-01,0.0
2014-02-01,0.011299555253933447
2014-03-01,0.005602255548669666
2014-04-01,-0.016901810802603112
2014-05-01,-0.005698021114637575
2014-06-01,-0.017291497110061282
2014-07-01,-0.011696039763191113
2014-08-01,-0.005899722127188589
2014-09-01,-0.0059347355198142715
2014-10-01,0.0
2014-11-01,0.0
2014-12-01,0.0059347355198142715
2015-01-01,0.005899722127188589
2015-02-01,0.0
2015-03-01,-0.005899722127188589
