country,date,year,quarter,co2,gdp,ind_prod,infl,unempl,pop,brent,co2_cap
italy,2006-04-01,2006,2,-0.027460069925702157,0.0070757194,0.006000000000000001,0.003,-0.003666666666666679,-99999.0,0.11865829874079115,-0.03150617384455945
italy,2006-07-01,2006,3,-0.007293476610872318,0.0047935806300000005,-0.0010000000000000002,-0.003,-0.0030000000000000027,-99999.0,0.0012456284847308652,-0.011242888861731082
italy,2006-10-01,2006,4,-0.04135596710403533,0.01296625507,0.006666666666666668,2.168404344971009e-19,-0.0016666666666666635,-99999.0,-0.15405492648778818,-0.0452174520106734
italy,2007-01-01,2007,1,-0.08526002127357302,-0.0027426155600000003,0.0009999999999999998,-0.0003333333333333327,-0.003333333333333334,-99999.0,-0.03264275291146124,-0.08964709638298096
italy,2007-04-01,2007,2,0.005631548866208647,0.00271710179,-0.001333333333333334,0.0033333333333333327,-0.0013333333333333391,-99999.0,0.1716953479050254,0.00012009517509525836
italy,2007-07-01,2007,3,0.0004916984497427279,0.00208515152,0.0026666666666666666,-0.004,0.0016666666666666705,-99999.0,0.08881614676443483,-0.00615593859614183
italy,2007-10-01,2007,4,0.08855376399250403,-0.00359101905,-0.006000000000000001,0.004333333333333333,0.0020000000000000018,-99999.0,0.16681459074687766,0.0807785293139549
italy,2008-01-01,2008,1,0.039655733655795444,0.01165336477,0.007,-0.0013333333333333326,0.0020000000000000018,-99999.0,0.0903775558950839,0.03145862499567009
italy,2008-04-01,2008,2,0.0004530028291291899,-0.00949721102,-0.005333333333333333,0.0026666666666666666,0.00233333333333334,-99999.0,0.22500557651200292,-0.0074246882591877394
italy,2008-07-01,2008,3,-0.019304726935846617,-0.0126543473,-0.020666666666666667,-0.006,-0.0010000000000000009,-99999.0,-0.059391479815414705,-0.02685722483800479
italy,2008-10-01,2008,4,-0.07171738169844488,-0.027382372130000002,-0.03266666666666667,0.0,0.0026666666666666644,-99999.0,-0.7385397604921318,-0.07895100727471593
italy,2009-01-01,2009,1,-0.08934255627945831,-0.02494448191,-0.03833333333333334,-0.0006666666666666665,0.004666666666666666,-99999.0,-0.2071422419833686,-0.09608804402736393
italy,2009-04-01,2009,2,-0.14988645973600612,-0.0049823318,0.005000000000000001,0.004666666666666666,0.0010000000000000009,-99999.0,0.2783930007880233,-0.15600378962263495
italy,2009-07-01,2009,3,-0.109525396291005,0.00634255433,0.009666666666666669,-0.004666666666666667,0.004666666666666652,-99999.0,0.15006162554483993,-0.11501119664460724
italy,2009-10-01,2009,4,-0.07377194923724062,0.0032998136,0.0016666666666666676,0.003,0.003666666666666679,-99999.0,0.09009800629387943,-0.07861798318293012
italy,2010-01-01,2010,1,0.020745775562037494,0.0034068207900000004,0.010333333333333335,-0.002,0.0020000000000000018,-99999.0,0.021474844344225197,0.01623151190902128
italy,2010-04-01,2010,2,0.03422243089265464,0.0069666975,0.012666666666666666,0.0036666666666666666,0.0003333333333333244,-99999.0,0.02920858972264284,0.029765071354268535
italy,2010-07-01,2010,3,0.019017767673350505,0.00445766135,-0.002999999999999998,-0.004,-0.0026666666666666644,-99999.0,-0.021760982292405195,0.0146339843092127
italy,2010-10-01,2010,4,0.014507759069463333,0.00535782161,0.005666666666666667,0.004,0.00033333333333333826,-99999.0,0.11829396029647476,0.01017900140894401
italy,2011-01-01,2011,1,-0.03750156254954362,0.00518360415,0.0036666666666666675,-0.0009999999999999987,-0.0026666666666666783,-99999.0,0.19382034198154496,-0.04158540382252074
italy,2011-04-01,2011,2,-0.024643040539110928,0.00044927652,-0.005999999999999999,0.0016666666666666661,0.0006666666666666765,-99999.0,0.1116668086389474,-0.028304339004358248
italy,2011-07-01,2011,3,-0.008549877438994713,-0.00488215997,-0.004666666666666667,-0.002666666666666668,0.004333333333333328,-99999.0,-0.03485398309325305,-0.011809328387041518
italy,2011-10-01,2011,4,-0.06255345228690601,-0.00966852045,0.0016666666666666663,0.002000000000000001,0.0073333333333333445,-99999.0,-0.03541173044387058,-0.0653967401476363
italy,2012-01-01,2012,1,0.0020171888597744214,-0.011351370329999999,-0.010666666666666665,-0.0006666666666666661,0.007999999999999993,-99999.0,0.07984814853104627,-0.0006290576894292244
italy,2012-04-01,2012,2,-0.026864127385287873,-0.00688272499,-0.006333333333333333,0.0006666666666666665,0.005666666666666667,-99999.0,-0.0888467401041435,-0.029576817106289788
italy,2012-07-01,2012,3,-0.03107303186408572,-0.00511856023,0.0009999999999999998,-0.002666666666666667,0.002999999999999989,-99999.0,0.0109771928913176,-0.033840384872570795
italy,2012-10-01,2012,4,-0.06003109367748394,-0.007410775979999999,-0.008333333333333333,2.168404344971009e-19,0.006000000000000005,-99999.0,0.004308912750909499,-0.06284474564226983
italy,2013-01-01,2013,1,-0.05276267915433053,-0.00971269615,-0.004,-0.0003333333333333327,0.004666666666666666,-99999.0,0.021626026262583586,-0.05539862401860329
italy,2013-04-01,2013,2,-0.09111994950973568,0.00037708852,0.0036666666666666666,0.0009999999999999996,0.002333333333333354,-99999.0,-0.09228347415944693,-0.09333124895105271
italy,2013-07-01,2013,3,-0.09178976423203977,0.00216738076,-0.00033333333333333365,-0.0016666666666666668,0.0006666666666666488,-99999.0,0.07232141730071806,-0.0935701885029534
italy,2013-10-01,2013,4,-0.04207010558280189,-0.0020437999500000003,-0.0033333333333333335,0.0,0.0016666666666666774,-99999.0,-0.009659269560949646,-0.043436679145968604
italy,2014-01-01,2014,1,-0.10218122117079886,0.00171372007,-0.0010000000000000002,-0.0006666666666666661,0.0036666666666666514,-99999.0,-0.009599386733602167,-0.10306992883951072
italy,2014-04-01,2014,2,-0.010817199132578281,-0.00047938067000000004,0.005333333333333333,0.002333333333333333,-0.0030000000000000027,-99999.0,0.014076119805149112,-0.011221742625694198
