,country,date,co2_quarterly
163,bulgaria,2000-12,13092740.607
164,bulgaria,2001-01,13451597.098000001
165,bulgaria,2001-04,12530378.667
166,bulgaria,2001-07,12754406.761
167,bulgaria,2001-12,14488397.651999999
168,bulgaria,2002-01,13401085.012
169,bulgaria,2002-04,12033273.216
170,bulgaria,2002-07,11938571.664
171,bulgaria,2002-12,13535140.872000001
172,bulgaria,2003-01,14858596.171
173,bulgaria,2003-04,13396555.791000001
174,bulgaria,2003-07,13806211.428
175,bulgaria,2003-12,14390752.793000001
176,bulgaria,2004-01,14746540.175
177,bulgaria,2004-04,12985657.307
178,bulgaria,2004-07,12873684.249000002
179,bulgaria,2004-12,14444010.767
180,bulgaria,2005-01,14875998.996
181,bulgaria,2005-04,13116648.890999999
182,bulgaria,2005-07,13377712.546
183,bulgaria,2005-12,14515321.748
184,bulgaria,2006-01,15341870.511
185,bulgaria,2006-04,13441964.29
186,bulgaria,2006-07,13764942.932
187,bulgaria,2006-12,14613152.091
188,bulgaria,2007-01,15378937.289
189,bulgaria,2007-04,14158509.8
190,bulgaria,2007-07,14429339.434
191,bulgaria,2007-12,16452750.543000001
192,bulgaria,2008-01,15318580.976
193,bulgaria,2008-04,13787644.848000001
194,bulgaria,2008-07,13988176.841000002
195,bulgaria,2008-12,15385941.189999998
196,bulgaria,2009-01,13586565.704
197,bulgaria,2009-04,11541888.36
198,bulgaria,2009-07,11878758.628
199,bulgaria,2009-12,13005487.621000001
200,bulgaria,2010-01,14415530.599
201,bulgaria,2010-04,12370871.075
202,bulgaria,2010-07,12908423.404
203,bulgaria,2010-12,13980134.757
204,bulgaria,2011-01,16445624.167
205,bulgaria,2011-04,13801536.821000002
206,bulgaria,2011-07,14035473.933
207,bulgaria,2011-12,15168214.347
208,bulgaria,2012-01,15451325.144000001
209,bulgaria,2012-04,12347358.458
210,bulgaria,2012-07,12828040.825
211,bulgaria,2012-12,14196286.678
212,bulgaria,2013-01,13680832.682
213,bulgaria,2013-04,11351545.197999999
214,bulgaria,2013-07,11946963.117999999
215,bulgaria,2013-12,13304942.864
216,bulgaria,2014-01,13614231.644
217,bulgaria,2014-04,12151677.308
218,bulgaria,2014-07,12874164.002999999
219,bulgaria,2014-12,14031277.544999998
220,bulgaria,2015-01,14889135.265999999
221,bulgaria,2015-04,12443554.746
222,bulgaria,2015-07,13221974.397999998
223,bulgaria,2015-12,14627272.204
224,bulgaria,2016-01,13487458.254999999
225,bulgaria,2016-04,11182265.586
226,bulgaria,2016-07,13083707.280000001
227,bulgaria,2016-12,15179378.131000001
228,bulgaria,2017-01,15582100.853
229,bulgaria,2017-04,12261602.28
230,bulgaria,2017-07,12874068.319000002
231,bulgaria,2017-12,14713791.689999998
232,bulgaria,2018-01,15156153.117999999
233,bulgaria,2018-04,12116036.311999999
234,bulgaria,2018-07,12565367.56
235,bulgaria,2018-12,14420249.605
236,bulgaria,2019-01,14766740.851
237,bulgaria,2019-04,11912391.206999999
238,bulgaria,2019-07,12274562.371
239,bulgaria,2019-12,14111452.281999998
240,croatia,2000-01,8121390.899
241,croatia,2000-04,4980682.23
242,croatia,2000-07,4650428.331
243,croatia,2000-12,6443099.505
244,croatia,2001-01,7522243.382999999
245,croatia,2001-04,5513176.611
246,croatia,2001-07,4924347.199
247,croatia,2001-12,7763415.8100000005
248,croatia,2002-01,8242305.68
249,croatia,2002-04,5730159.791
250,croatia,2002-07,5128817.916
251,croatia,2002-12,7460646.823000001
252,croatia,2003-01,9156806.33
253,croatia,2003-04,6041603.4860000005
254,croatia,2003-07,5488771.351
255,croatia,2003-12,7860473.4350000005
256,croatia,2004-01,9231925.052000001
257,croatia,2004-04,6173628.482
258,croatia,2004-07,5607902.249
259,croatia,2004-12,7817009.944
260,croatia,2005-01,9359853.802
261,croatia,2005-04,6176305.518999999
262,croatia,2005-07,5664297.754
263,croatia,2005-12,8116960.33
264,croatia,2006-01,9592153.083
265,croatia,2006-04,6166519.178
266,croatia,2006-07,5761391.334
267,croatia,2006-12,7855608.4969999995
268,croatia,2007-01,8767091.022
269,croatia,2007-04,6546656.387
270,croatia,2007-07,6157582.124
271,croatia,2007-12,9336342.669
272,croatia,2008-01,9054432.086
273,croatia,2008-04,6447555.328
274,croatia,2008-07,5991572.141
275,croatia,2008-12,8189616.575999999
276,croatia,2009-01,8792872.946
277,croatia,2009-04,5667184.914
278,croatia,2009-07,5411216.927
279,croatia,2009-12,7782015.946
280,croatia,2010-01,8577914.481
281,croatia,2010-04,5662541.994
282,croatia,2010-07,5237647.295
283,croatia,2010-12,7700731.92
284,croatia,2011-01,8351845.942
285,croatia,2011-04,5431980.626
286,croatia,2011-07,5117206.194
287,croatia,2011-12,7640476.034
288,croatia,2012-01,8119588.903
289,croatia,2012-04,5271305.117000001
290,croatia,2012-07,4850339.877
291,croatia,2012-12,6861289.227
292,croatia,2013-01,8013067.527000001
293,croatia,2013-04,5158454.888
294,croatia,2013-07,4782629.464
295,croatia,2013-12,6776859.302999999
296,croatia,2014-01,7032309.6219999995
297,croatia,2014-04,5073261.734999999
298,croatia,2014-07,4597811.681
299,croatia,2014-12,6663432.762
300,croatia,2015-01,7608685.358
301,croatia,2015-04,5123197.916999999
302,croatia,2015-07,4704118.687
303,croatia,2015-12,6885536.586999999
304,croatia,2016-01,7423989.778999999
305,croatia,2016-04,5053890.992000001
306,croatia,2016-07,4753719.443
307,croatia,2016-12,7397729.665
308,croatia,2017-01,7818758.545
309,croatia,2017-04,5288557.7129999995
310,croatia,2017-07,4851605.018999999
311,croatia,2017-12,7068994.797
312,croatia,2018-01,7538245.566
313,croatia,2018-04,5151910.4120000005
314,croatia,2018-07,4725654.041
315,croatia,2018-12,6840176.417
316,croatia,2019-01,7617771.026000001
317,croatia,2019-04,5271329.192
318,croatia,2019-07,4854305.233000001
319,croatia,2019-12,6951535.161
320,germany,2000-01,285412486.97
321,germany,2000-04,191537305.95
322,germany,2000-07,176145061.25
323,germany,2000-12,252774955.57
324,germany,2001-01,286084583.44
325,germany,2001-04,198063179.20999998
326,germany,2001-07,171712600.29
327,germany,2001-12,266946360.49
328,germany,2002-01,268257207.16000003
329,germany,2002-04,200107639.92000002
330,germany,2002-07,177632166.87
331,germany,2002-12,262381986.61
332,germany,2003-01,285841432.5
333,germany,2003-04,197978110.97000003
334,germany,2003-07,180062308.48
335,germany,2003-12,260879489.56
336,germany,2004-01,283641010.12
337,germany,2004-04,200215223.22
338,germany,2004-07,176572359.63
339,germany,2004-12,255542428.67000002
340,germany,2005-01,281063580.41999996
341,germany,2005-04,197965393.01999998
342,germany,2005-07,172425315.23000002
343,germany,2005-12,254700254.64
344,germany,2006-01,306637824.74
345,germany,2006-04,202839586.73
346,germany,2006-07,178003186.7
347,germany,2006-12,247986809.62
348,germany,2007-01,270403595.86
349,germany,2007-04,193928299.6
350,germany,2007-07,183632631.73
351,germany,2007-12,267942286.99
352,germany,2008-01,279757365.95
353,germany,2008-04,199033404.74
354,germany,2008-07,182091841.67000002
355,germany,2008-12,262413964.47000003
356,germany,2009-01,278182839.49
357,germany,2009-04,175926779.47
358,germany,2009-07,163242713.09
359,germany,2009-12,243738849.87
360,germany,2010-01,277401137.48
361,germany,2010-04,201981204.41
362,germany,2010-07,177826309.65
363,germany,2010-12,263859492.00000003
364,germany,2011-01,284041072.34000003
365,germany,2011-04,193288761.86
366,germany,2011-07,167570131.99
367,germany,2011-12,246920934.09
368,germany,2012-01,278066998.61
369,germany,2012-04,197005860.04000002
370,germany,2012-07,174692864.02
371,germany,2012-12,263218630.17000002
372,germany,2013-01,301452294.73
373,germany,2013-04,199728768.18
374,germany,2013-07,176414915.52
375,germany,2013-12,255542997.7
376,germany,2014-01,265282498.72000003
377,germany,2014-04,194897057.7
378,germany,2014-07,175631140.78
379,germany,2014-12,254560835.2
380,germany,2015-01,279287610.34000003
381,germany,2015-04,191763523.35
382,germany,2015-07,175620366.14
383,germany,2015-12,249176418.82999998
384,germany,2016-01,269491453.45
385,germany,2016-04,194825092.12
386,germany,2016-07,173253326.34
387,germany,2016-12,260880110.39
388,germany,2017-01,267767623.17000002
389,germany,2017-04,199294654.71
390,germany,2017-07,179583439.26999998
391,germany,2017-12,238482708.41000003
392,germany,2018-01,261076149.35999998
393,germany,2018-04,192207584.95
394,germany,2018-07,169837403.31
395,germany,2018-12,238402452.72
396,germany,2019-01,247976419.18
397,germany,2019-04,179985359.96
398,germany,2019-07,157481895.27
399,germany,2019-12,225365837.89999998
400,greece,2000-01,29016382.236
401,greece,2000-04,23336608.872
402,greece,2000-07,23773638.028
403,greece,2000-12,25796822.347999997
404,greece,2001-01,26854808.343999997
405,greece,2001-04,24311062.669
406,greece,2001-07,24879370.046
407,greece,2001-12,27959947.081
408,greece,2002-01,28700037.712
409,greece,2002-04,24211626.889000002
410,greece,2002-07,23955213.391
411,greece,2002-12,27220519.463
412,greece,2003-01,29871319.436
413,greece,2003-04,25126587.802
414,greece,2003-07,25416653.294
415,greece,2003-12,27176264.187
416,greece,2004-01,30331704.115
417,greece,2004-04,24701385.348
418,greece,2004-07,24542193.825000003
419,greece,2004-12,27841364.766000003
420,greece,2005-01,30614131.868
421,greece,2005-04,25182067.251000002
422,greece,2005-07,25650633.636
423,greece,2005-12,28355308.574
424,greece,2006-01,30136919.439
425,greece,2006-04,24826398.082000002
426,greece,2006-07,25609831.327999998
427,greece,2006-12,27979346.895000003
428,greece,2007-01,30067261.401
429,greece,2007-04,26000223.909
430,greece,2007-07,26346429.137000002
431,greece,2007-12,30504580.972999997
432,greece,2008-01,29649268.11
433,greece,2008-04,25120579.564
434,greece,2008-07,25602160.29
435,greece,2008-12,28023672.192
436,greece,2009-01,28336500.325999998
437,greece,2009-04,23811333.303
438,greece,2009-07,24615665.441999998
439,greece,2009-12,25452533.466
440,greece,2010-01,25670622.669000003
441,greece,2010-04,22368988.764
442,greece,2010-07,23750784.805
443,greece,2010-12,23475412.016
444,greece,2011-01,26502753.357
445,greece,2011-04,21297965.601
446,greece,2011-07,21387469.368
447,greece,2011-12,23992582.575
448,greece,2012-01,26216242.498999998
449,greece,2012-04,19766209.667999998
450,greece,2012-07,20493140.092
451,greece,2012-12,22667460.733
452,greece,2013-01,22359916.008
453,greece,2013-04,18169076.503
454,greece,2013-07,19157640.82
455,greece,2013-12,21175302.628
456,greece,2014-01,21261308.504
457,greece,2014-04,18226084.897
458,greece,2014-07,18923722.456
459,greece,2014-12,19657839.162
460,greece,2015-01,20625116.826
461,greece,2015-04,16858727.377
462,greece,2015-07,19139746.287
463,greece,2015-12,20119028.138
464,greece,2016-01,19760705.312
465,greece,2016-04,16099392.649
466,greece,2016-07,17930795.642
467,greece,2016-12,21183891.558
468,greece,2017-01,21405061.299999997
469,greece,2017-04,16670715.236000001
470,greece,2017-07,17537711.659
471,greece,2017-12,19573077.711999997
472,greece,2018-01,20407897.332999997
473,greece,2018-04,16570555.662999999
474,greece,2018-07,17403496.157
475,greece,2018-12,18932789.153
476,greece,2019-01,19461393.237
477,greece,2019-04,15287075.584999999
478,greece,2019-07,15714486.236
479,greece,2019-12,17812403.892
480,hungary,2000-01,19182888.938
481,hungary,2000-04,13728652.678
482,hungary,2000-07,13486816.993
483,hungary,2000-12,16673361.68
484,hungary,2001-01,17777112.759999998
485,hungary,2001-04,14274414.358
486,hungary,2001-07,13987210.101
487,hungary,2001-12,19299038.582
488,hungary,2002-01,18297964.909
489,hungary,2002-04,14294267.962000001
490,hungary,2002-07,13370864.480999999
491,hungary,2002-12,18012430.466
492,hungary,2003-01,19766727.052
493,hungary,2003-04,14491303.296999998
494,hungary,2003-07,14588343.161999999
495,hungary,2003-12,17474212.163000003
496,hungary,2004-01,19487692.788
497,hungary,2004-04,14467044.966
498,hungary,2004-07,13966977.474
499,hungary,2004-12,17869990.314
500,hungary,2005-01,20815340.606
501,hungary,2005-04,14783219.262
502,hungary,2005-07,14721006.748
503,hungary,2005-12,18735699.424
504,hungary,2006-01,20996473.095
505,hungary,2006-04,14914413.383000001
506,hungary,2006-07,14437338.989
507,hungary,2006-12,18160244.726
508,hungary,2007-01,17963168.372
509,hungary,2007-04,14787552.616
510,hungary,2007-07,14692405.943
511,hungary,2007-12,19891733.926
512,hungary,2008-01,19162298.692
513,hungary,2008-04,15220730.888999999
514,hungary,2008-07,14923307.652999999
515,hungary,2008-12,18443063.594
516,hungary,2009-01,19068530.618
517,hungary,2009-04,13493406.336000001
518,hungary,2009-07,13307674.599999998
519,hungary,2009-12,17543451.17
520,hungary,2010-01,19264078.105
521,hungary,2010-04,13856189.179
522,hungary,2010-07,13490145.390999999
523,hungary,2010-12,18227278.129
524,hungary,2011-01,19394948.711999997
525,hungary,2011-04,13712099.028
526,hungary,2011-07,13599028.121
527,hungary,2011-12,17776397.203
528,hungary,2012-01,18757493.478
529,hungary,2012-04,12855266.103999998
530,hungary,2012-07,12911850.719999999
531,hungary,2012-12,16568122.661
532,hungary,2013-01,18194580.48
533,hungary,2013-04,12532230.125
534,hungary,2013-07,12623846.503
535,hungary,2013-12,16012106.454
536,hungary,2014-01,16757973.143
537,hungary,2014-04,12755668.224
538,hungary,2014-07,12783596.518
539,hungary,2014-12,16547095.336
540,hungary,2015-01,18039866.468000002
541,hungary,2015-04,13252912.517
542,hungary,2015-07,13404337.245000001
543,hungary,2015-12,17464644.834
544,hungary,2016-01,17493451.809
545,hungary,2016-04,13434964.173
546,hungary,2016-07,13571805.231
547,hungary,2016-12,18521602.573
548,hungary,2017-01,19359340.179
549,hungary,2017-04,14146421.824
550,hungary,2017-07,13910686.317
551,hungary,2017-12,17696381.388
552,hungary,2018-01,18646120.972999997
553,hungary,2018-04,14166271.817
554,hungary,2018-07,13875049.952
555,hungary,2018-12,17751910.501000002
556,hungary,2019-01,18575641.58
557,hungary,2019-04,14287812.478
558,hungary,2019-07,13950303.963
559,hungary,2019-12,17644255.488
560,italy,2000-01,139429660.32
561,italy,2000-04,105705492.27
562,italy,2000-07,102043368.39999999
563,italy,2000-12,122630667.91
564,italy,2001-01,131541124.44
565,italy,2001-04,107608800.09
566,italy,2001-07,100423579.41000001
567,italy,2001-12,130604815.25
568,italy,2002-01,141628760.03
569,italy,2002-04,111665397.3
570,italy,2002-07,103304770.63
571,italy,2002-12,125972077.02000001
572,italy,2003-01,149255693.66
573,italy,2003-04,116075424.65
574,italy,2003-07,108365370.96000001
575,italy,2003-12,135150544.46
576,italy,2004-01,152279573.89
577,italy,2004-04,119379809.37
578,italy,2004-07,112425237.03
579,italy,2004-12,135102988.36
580,italy,2005-01,154338090.51
581,italy,2005-04,118464142.21000001
582,italy,2005-07,111869866.81
583,italy,2005-12,142534939.6
584,italy,2006-01,162158734.77
585,italy,2006-04,115255366.81
586,italy,2006-07,111056914.78
587,italy,2006-12,136760496.16
588,italy,2007-01,148906066.13
589,italy,2007-04,115906264.10000001
590,italy,2007-07,111111534.72
591,italy,2007-12,149423559.85000002
592,italy,2008-01,154929691.71
593,italy,2008-04,115958781.86
594,italy,2008-07,108987128.4
595,italy,2008-12,139082540.72
596,italy,2009-01,141688198.18
597,italy,2009-04,99817981.2
598,italy,2009-07,97680738.57
599,italy,2009-12,129191477.53
600,italy,2010-01,144658332.07999998
601,italy,2010-04,103293119.85
602,italy,2010-07,99556185.04
603,italy,2010-12,131079418.14
604,italy,2011-01,139333880.22
605,italy,2011-04,100778771.15
606,italy,2011-07,98708620.31
607,italy,2011-12,123131135.85
608,italy,2012-01,139615226.64
609,italy,2012-04,98107479.02
610,italy,2012-07,95688607.67
611,italy,2012-12,115956931.13999999
612,italy,2013-01,132439717.36
613,italy,2013-04,89563122.22
614,italy,2013-07,87296422.71
615,italy,2013-12,111179802.52
616,italy,2014-01,119575307.05
617,italy,2014-04,88599521.22
618,italy,2014-07,82819633.0
