country,date,year,month,co2,gdp,pop
ireland,2010-08-01,2010,8,0.1411042249510963,0.11170946731109765,-99999.0
ireland,2010-09-01,2010,9,0.07354662146908808,0.11148879764206043,-99999.0
ireland,2010-10-01,2010,10,0.14802072692957324,0.1111664474532752,-99999.0
ireland,2010-11-01,2010,11,0.17820690416998275,0.09064985194604347,-99999.0
ireland,2010-12-01,2010,12,0.10239827976872462,0.07043727684360235,-99999.0
ireland,2011-01-01,2011,1,-0.050223825560525626,0.05051834998728566,-99999.0
ireland,2011-02-01,2011,2,-0.1716478498875844,0.04440430373819382,-99999.0
ireland,2011-03-01,2011,3,-0.06831902618658248,0.038335567639954604,-99999.0
ireland,2011-04-01,2011,4,-0.07682380836954295,0.032311534874203574,-99999.0
ireland,2011-05-01,2011,5,-0.07845591815752684,0.02102924148510965,-99999.0
ireland,2011-06-01,2011,6,0.06354238402547452,0.009755340745499552,-99999.0
ireland,2011-07-01,2011,7,0.044509982508451174,-0.0015103557796614098,-99999.0
ireland,2011-08-01,2011,8,-0.0046472443262359775,-0.0061403991431205895,-99999.0
ireland,2011-09-01,2011,9,-0.03198658205971938,-0.010833541191821894,-99999.0
ireland,2011-10-01,2011,10,-0.07061543001744042,-0.015590864720902431,-99999.0
ireland,2011-11-01,2011,11,-0.2304450836623353,-0.02124615393607243,-99999.0
ireland,2011-12-01,2011,12,-0.28948922816205425,-0.02680803670864762,-99999.0
ireland,2012-01-01,2012,1,-0.08305801155194459,-0.03227866034618643,-99999.0
ireland,2012-02-01,2012,2,0.17630518639001025,-0.03568685484880163,-99999.0
ireland,2012-03-01,2012,3,-0.038765197042124555,-0.03905325724552711,-99999.0
ireland,2012-04-01,2012,4,0.21622500837838743,-0.04237864813562808,-99999.0
ireland,2012-05-01,2012,5,0.17104434518864053,-0.035317080311696,-99999.0
ireland,2012-06-01,2012,6,-0.04631599001182707,-0.028254397874835746,-99999.0
ireland,2012-07-01,2012,7,-0.0020298380824037565,-0.02119047536027452,-99999.0
ireland,2012-08-01,2012,8,-0.10762287490672406,-0.02134239235092039,-99999.0
ireland,2012-09-01,2012,9,0.13748811739932165,-0.021502340665723096,-99999.0
ireland,2012-10-01,2012,10,0.18326865184902985,-0.02167028844544916,-99999.0
ireland,2012-11-01,2012,11,0.31575535404916266,-0.018037848334099493,-99999.0
ireland,2012-12-01,2012,12,0.24109926580451457,-0.014524133182689525,-99999.0
ireland,2013-01-01,2013,1,0.13413266553940417,-0.01112488418510793,-99999.0
ireland,2013-02-01,2013,2,-0.003659409535771374,-0.007741321260336775,-99999.0
ireland,2013-03-01,2013,3,0.23786621506324934,-0.004397354522229335,-99999.0
ireland,2013-04-01,2013,4,-0.105402036520573,-0.0010922764840266552,-99999.0
ireland,2013-05-01,2013,5,-0.13456659628544898,0.007393765864147639,-99999.0
ireland,2013-06-01,2013,6,-0.0385729466786735,0.015801472083147416,-99999.0
ireland,2013-07-01,2013,7,-0.08389776353463674,0.024132091224714713,-99999.0
ireland,2013-08-01,2013,8,0.07679147068048309,0.013492312501991677,-99999.0
ireland,2013-09-01,2013,9,-0.08746837530553009,0.0028303023491567103,-99999.0
