Series,$\hat{\Delta}_T$ (ATT),$\hat{\sigma}_{\Delta_T}$ (STD),P-value
12-m Log-Diff $CO_2$,-0.001,0.051,0.883
12-m Log $CO_2$,0.005,0.049,0.465
Absolute $CO_2$,2263851.536,85537560.392,0.841
