country,date,co2_stat,pop_stat,gdp_stat,co2_cap_stat,gdp_cap_stat
Austria,2001-01-01,-0.019137836352346227,-1.0226481172992408e-07,-5.893105615939476e-06,-0.011515862659186193,-5.790840804209552e-06
Austria,2001-02-01,0.03961054797361285,3.310081208063309e-05,0.002262413773355121,-0.1742285413971617,0.0022293129612744877
Austria,2001-03-01,0.022159771483806878,-1.2445101482683185e-07,-2.8264356188856254e-08,0.007013382513126887,9.618666041433244e-08
Austria,2001-04-01,0.11971768377375014,-1.2436325214082444e-07,-2.8273859697947046e-08,-0.05436525131912104,9.608938889016372e-08
Austria,2001-05-01,0.024325756087039352,3.7188306428959095e-05,0.0013857545379174496,-0.13144937991836833,0.0013485662314902669
Austria,2001-06-01,0.1029230147343867,-1.5186759760865698e-07,-1.4807277075590264e-06,0.21855941746536695,-1.3288601081740126e-06
Austria,2001-07-01,-0.024426432010226762,-1.5174930112493712e-07,-1.477130616933664e-06,-0.08069446170287597,-1.3253813211377974e-06
Austria,2001-08-01,0.037497964945121254,2.883441622003602e-05,0.0032015857529152925,0.09120225008293148,0.003172751336698809
Austria,2001-09-01,0.11660614571343508,-1.7490898329697302e-07,-1.9417279208511218e-05,0.28840937279966083,-1.9242370225214245e-05
Austria,2001-10-01,0.04686295113140382,-1.7476276958916515e-07,-1.9247278231659948e-05,-0.1621977766725879,-1.907251545851807e-05
Austria,2001-11-01,0.15794165358450307,6.185768555866389e-05,0.002983214237314513,0.1429707482284217,0.002921356551748744
Austria,2001-12-01,0.17438495492160122,-2.3011364369551757e-07,-5.378526983079723e-05,-0.11742034282202127,-5.3555156183549e-05
Austria,2002-01-01,0.052059519107103824,-2.298930308342051e-07,-5.3004948430412924e-05,-0.15028447218256683,-5.2775055396026005e-05
Austria,2002-02-01,-0.025242713934021666,-0.00013237971277924032,-0.0015188728091253267,-0.1290398580989263,-0.0013864930963514155
Austria,2002-03-01,0.017999562223668164,-1.2035125784848333e-07,-3.270397623467147e-05,0.12755788761218406,-3.258362497682299e-05
Austria,2002-04-01,0.028785956334097307,-1.202677957223841e-07,-3.233310659211952e-05,-0.08682113746183509,-3.2212838791068066e-05
Austria,2002-05-01,0.054459153422138584,7.001370945758367e-05,-0.0016092476792088917,-0.11659540234378862,-0.0016792613886718044
Austria,2002-06-01,-0.020760442916726518,-1.736082602121769e-07,-1.6423603280912857e-05,0.117666645779124,-1.6249995017147967e-05
Austria,2002-07-01,0.057050013574908576,-1.7346368075266128e-07,-1.6291290855008356e-05,0.07233561284200374,-1.6117827179584765e-05
Austria,2002-08-01,0.044332635443376844,-8.413809750251744e-06,-0.0022633369654805335,0.0007116636857339431,-0.0022549231557249527
Austria,2002-09-01,0.007926172859921365,-1.6638728617124343e-07,-3.1089273981876886e-06,0.2647202798260409,-2.942540112016445e-06
Austria,2002-10-01,0.10566437951184326,-1.6625162757577527e-07,-3.097992895106927e-06,-0.028053115948353746,-2.931741272860222e-06
Austria,2002-11-01,-0.09296060834463482,-0.00014832523930508046,0.001867380831694021,-0.15318226335511148,0.0020157060710044306
Austria,2002-12-01,-0.08811623852871975,-6.723528578334026e-08,-1.3099983696918116e-05,0.08604885197201165,-1.303274841468749e-05
Austria,2003-01-01,0.013681855757024408,-6.720043010943755e-08,-1.300566785644719e-05,-0.05333091040533461,-1.2938467421008681e-05
Austria,2003-02-01,0.16042687378232934,2.872087831029546e-05,-0.0019210685071868738,-0.08425403495046016,-0.0019497893855024984
Austria,2003-03-01,0.055391450809645804,-8.287276465068771e-08,-2.8135452296851327e-06,-0.1242225908642946,-2.7306724614817313e-06
Austria,2003-04-01,0.039911605667288796,-8.282507124590666e-08,-2.804130243561076e-06,0.0027344029257620056,-2.721305175867883e-06
Austria,2003-05-01,0.010569385253539565,0.0002464250299105686,0.0012607454028632503,-0.13063418893562795,0.0010143203729526817
Austria,2003-06-01,0.02261057665386801,-2.8519280803607217e-07,-8.582580118599026e-06,0.1590501691777469,-8.297387308786597e-06
