Series,$\hat{\Delta}_T$ (ATE),$\hat{\sigma}_{\Delta_T}$ (STD),p-value
12-m log-diff $CO_2$,-0.01,0.044,0.007
Log $CO_2$,-0.17,0.068,0.0
Absolute $CO_2$,-768066915.944,377103382.699,0.0
