Series,$\hat{\Delta}_T$ (ATE),$\hat{\sigma}_{\Delta_T}$ (STD),p-value
12-m log-diff $CO_2$,-0.025,0.031,0.0
Log $CO_2$,-0.105,0.062,0.0
Absolute $CO_2$,-4117346234.358,2538699655.32,0.0
