Series,$\hat{\Delta}_T$ (ATT),$\hat{\sigma}_{\Delta_T}$ (STD),P-value
12-m Log-Diff $CO_2$,0.017,0.029,0.0
12-m Log $CO_2$,0.037,0.047,0.0
Absolute $CO_2$,371317917.219,460230048.814,0.0
