Series,$\hat{\Delta}_T$ (ATE),$\hat{\sigma}_{\Delta_T}$ (STD),p-value
12-m log-diff $CO_2$,-0.007,0.067,0.279
Log $CO_2$,-0.108,0.065,0.0
Absolute $CO_2$,-390730678.433,256076405.205,0.0
