Series,$\hat{\Delta}_T$ (ATE),$\hat{\sigma}_{\Delta_T}$ (STD),p-value
12-m log-diff $CO_2$,-0.007,0.051,0.108
Log $CO_2$,-0.112,0.084,0.0
Absolute $CO_2$,-486377633.086,394346097.651,0.0
