date,gdp_cap
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,-0.0337991112252336
2002-02-01,-0.02765132865191866
2002-03-01,-0.02163751383572965
2002-04-01,-0.0157536121894708
2002-05-01,0.0019065548572196889
2002-06-01,0.019358652694460687
2002-07-01,0.03660699428940184
2002-08-01,0.03240936959147511
2002-09-01,0.028254883636847694
2002-10-01,0.0241428360845255
2002-11-01,0.00212356782992984
2002-12-01,-0.0195028205738339
2003-01-01,-0.0407491194131655
2003-02-01,-0.037982158535058375
2003-03-01,-0.03523234733976999
2003-04-01,-0.032499509433204565
2003-05-01,-0.0496404191000952
2003-06-01,-0.06657349434920157
2003-07-01,-0.08330309873852215
2003-08-01,-0.060429376486140995
2003-09-01,-0.03806159542941501
2003-10-01,-0.01617923754771944
2003-11-01,0.0019950788527367536
2003-12-01,0.01993110576184165
2004-01-01,0.03763590619974444
2004-02-01,0.044377513892140286
2004-03-01,0.051042674592221005
2004-04-01,0.057632808206761865
2004-05-01,0.06284800434737825
2004-06-01,0.06796646320096578
2004-07-01,0.07299033169675617
2004-08-01,0.04069639324460361
2004-09-01,0.009258443471493294
2004-10-01,-0.021361763313359816
2004-11-01,-0.022190934305861276
2004-12-01,-0.02302641123214144
2005-01-01,-0.02386811581792081
2005-02-01,-0.03362533414131619
2005-03-01,-0.04326617834385793
2005-04-01,-0.05279296498042818
2005-05-01,-0.048882937672811266
2005-06-01,-0.044977825561204554
2005-07-01,-0.04107760882392597
2005-08-01,-0.02190164426395569
2005-09-01,-0.0032567475223750364
2005-10-01,0.014880393648450507
2005-11-01,0.02491798717554161
2005-12-01,0.0347402024479635
2006-01-01,0.044354131425953014
2006-02-01,0.04805198187816906
2006-03-01,0.051702847440092015
2006-04-01,0.05530774880758926
2006-05-01,0.061478370240061864
2006-06-01,0.06757479651981768
2006-07-01,0.07359839235259713
2006-08-01,0.05701146274517299
2006-09-01,0.04076121777190522
2006-10-01,0.02483672590252617
2006-11-01,0.01842771361474327
2006-12-01,0.012043631931559773
2007-01-01,0.005688072384286258
2007-02-01,-0.005230253461604661
2007-03-01,-0.01609524429626319
2007-04-01,-0.02690772452890755
2007-05-01,-0.04848544749568262
2007-06-01,-0.0699603645589395
2007-07-01,-0.09133578646367013
2007-08-01,-0.07402900746701135
2007-09-01,-0.05700946993782097
2007-10-01,-0.04026915599460423
2007-11-01,-0.0725546634816645
2007-12-01,-0.10424059299651489
2008-01-01,-0.13535633176164552
2008-02-01,-0.1284915549489316
2008-03-01,-0.12171465469267773
2008-04-01,-0.11502544941548187
2008-05-01,-0.09391345515451022
2008-06-01,-0.072792843143894
2008-07-01,-0.0516610480083024
2008-08-01,-0.08182722773255513
2008-09-01,-0.11203476392674361
2008-10-01,-0.1422946625554964
2008-11-01,-0.11001262153914126
2008-12-01,-0.07809851775703258
2009-01-01,-0.046533218463936876
2009-02-01,-0.03539133164821173
2009-03-01,-0.02416698468130285
2009-04-01,-0.012859082415436873
2009-05-01,-0.020022870335401066
2009-06-01,-0.02722944750681222
2009-07-01,-0.03447944544060455
2009-08-01,-0.003095716100540713
2009-09-01,0.028577028601342036
2009-10-01,0.06055380036005609
2009-11-01,0.07431676211199445
2009-12-01,0.08780312289768588
