model,timeframe,timestamp,treatment_country,prox,incl_vars,incl_countries,incl_years,stat,sign_level,impl_date,months_cor,split_date,n_train,n_test,r2_pre_log_diff_stand,r2_pre_log_diff,r2_pre_log,r2_pre,lasso_alpha,n_pars,lasso_pars,lasso_coefs,normal_errors,shapiro_p,att_mean,att_std,att_sign,att_p,att_log_diff_mean,att_log_diff_std,att_log_diff_sign,att_log_diff_p
arco,m,"2023-10-17, 16:03",ireland,False,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,0.1,2010-05-01,-24,2008-05-01,88,138,0.0,-0.03776481689250133,0.4946872955941496,0.43708178988207436,0.9989999999999992,0,[],[],0,0.030580971390008926,1174647831.174548,300265176.0078108,1,1.5494992322766668e-70,0.01823128383053164,0.07073396475024953,1,0.006902762906994006
arco,m,"2023-10-17, 16:03",ireland,False,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,0.1,2010-05-01,-21,2008-08-01,91,135,0.0,-0.03176646848941056,0.540477254580823,0.49245149333766614,0.9989999999999992,0,[],[],0,0.030580971390008926,1097393952.7907054,287653668.37848574,1,2.2228382381332502e-69,0.01696590294367041,0.07073396475024955,1,0.011756719166687012
arco,m,"2023-10-17, 16:03",ireland,False,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,0.1,2010-05-01,-18,2008-11-01,94,132,0.0,-0.02771547818243203,0.5709626472874845,0.5288798614563273,0.9989999999999992,0,[],[],0,0.030580971390008926,1041875583.9482938,279198109.98837036,1,2.293857908086247e-68,0.01604227850406932,0.07073396475024955,1,0.017046159920874736
arco,m,"2023-10-17, 16:03",ireland,False,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,0.1,2010-05-01,-15,2009-02-01,97,129,0.0,-0.025369772334972618,0.5884172778903216,0.5495677581505864,0.7999999999999994,0,[],[],0,0.030580971390008926,1008215738.3662916,274333398.55078363,1,1.1469563771521173e-67,0.015476342590469464,0.07073396475024955,1,0.021248802528769217
arco,m,"2023-10-17, 16:03",ireland,False,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,0.1,2010-05-01,-12,2009-05-01,100,126,0.0,-0.013357019711093487,0.6743932083349371,0.6493480345793836,0.6639999999999995,0,[],[],0,0.030580971390008926,809610792.1863457,250032162.80368572,1,6.2986458784284505e-62,0.012041285133574428,0.07073396475024954,1,0.07177557700662587
arco,m,"2023-10-17, 16:03",ireland,False,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,0.1,2010-05-01,-9,2009-08-01,103,123,0.0,-0.005030997566283446,0.7268139587474387,0.7077289959269998,0.9989999999999992,0,[],[],0,0.030580971390008926,616490250.5531304,234442262.32874256,1,8.955740643139665e-53,0.008532608042900486,0.07073396475024953,0,0.20038720239453886
arco,m,"2023-10-17, 16:03",ireland,False,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,0.1,2010-05-01,-6,2009-11-01,106,120,0.0,-0.00043434903638339684,0.7430443655185044,0.7244746792714214,0.5259999999999996,0,[],[],0,0.030580971390008926,410925098.3705513,227304367.34026903,1,1.4329579909810322e-37,0.004595952247645203,0.07073396475024953,0,0.4892657224440732
arco,m,"2023-10-17, 16:03",ireland,False,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,0.1,2010-05-01,-3,2010-02-01,109,117,0.0,-1.353025176342726e-07,0.7367133574330699,0.7173459160503413,0.6249999999999994,0,[],[],0,0.030580971390008926,330138590.6076626,227147210.66640878,1,8.899004259509865e-30,0.0029868803693290633,0.07073396475024954,0,0.6529540058741619
arco,m,"2023-10-17, 16:03",ireland,False,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,0.1,2010-05-01,0,2010-05-01,112,114,0.0,0.0,0.7365308099870671,0.717146422938916,0.5219999999999996,0,[],[],0,0.030580971390008926,328703839.07240784,227157368.69845754,1,1.249403019999545e-29,0.0029579707413999934,0.07073396475024955,0,0.6560929516833512
arco,m,"2023-10-17, 16:03",ireland,False,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,0.1,2010-05-01,3,2010-08-01,115,111,0.0,-8.877002929175148e-05,0.731027223443075,0.7111910415478627,0.6029999999999995,0,[],[],0,0.030580971390008926,292152617.1249509,227564330.42291343,1,8.768080761891066e-26,0.002217474694451197,0.07073396475024954,0,0.7384559851774604
arco,m,"2023-10-17, 16:03",ireland,False,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,0.1,2010-05-01,6,2010-11-01,118,108,0.0,-0.00017603517020714499,0.7283226550033405,0.7082956038385639,0.6339999999999995,0,[],[],0,0.030580971390008926,277341528.30570024,227809260.263311,1,3.5173576433819834e-24,0.00191519892409565,0.07073396475024954,0,0.7730395389985665
arco,m,"2023-10-17, 16:03",ireland,False,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,0.1,2010-05-01,9,2011-02-01,121,105,0.0,-4.40826434164876e-05,0.7328182549355527,0.7131184157509307,0.5709999999999995,0,[],[],0,0.030580971390008926,302906710.81588304,227415200.92827177,1,6.220630694437849e-27,0.0024361475489912804,0.07073396475024954,0,0.7137631025585327
arco,m,"2023-10-17, 16:03",ireland,False,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,0.1,2010-05-01,12,2011-05-01,124,102,0.0,-0.0015451192180406803,0.703026498388329,0.6817553000628092,0.9989999999999992,0,[],[],0,0.030580971390008926,178704167.08005798,230563283.68522298,1,2.8477425177272645e-13,-0.00013140377609543294,0.07073396475024955,0,0.9842099761263153
arco,m,"2023-10-17, 16:03",ireland,False,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,0.1,2010-05-01,15,2011-08-01,127,99,0.0,-0.001931238507443478,0.6972442378179262,0.6757834321472684,0.9989999999999992,0,[],[],0,0.030580971390008926,161432970.07939458,231237087.02635148,1,1.9730368373270762e-11,-0.0004959114412153292,0.07073396475024954,0,0.9404613784160694
arco,m,"2023-10-17, 16:03",ireland,False,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,0.1,2010-05-01,18,2011-11-01,130,96,0.0,-0.0032646456556970627,0.6786873112269067,0.6567879954351816,0.45899999999999963,0,[],[],0,0.030580971390008926,112791287.81947713,233421381.3632175,1,1.0697571187713262e-06,-0.001532662509664178,0.07073396475024955,0,0.817460701469571
arco,m,"2023-10-17, 16:03",ireland,False,"['co2', 'gdp', 'ind_prod', 'infl', 'unempl', 'pop', 'brent']","['austria', 'belgium', 'bulgaria', 'croatia', 'czech_republic', 'france', 'germany', 'greece', 'hungary', 'ireland', 'italy', 'lithuania', 'netherlands', 'portugal', 'romania', 'slovakia', 'spain', 'switzerland', 'united_kingdom']","range(2000, 2020)",stat,0.1,2010-05-01,21,2012-02-01,133,93,0.0,-0.011621543764822384,0.5783751876314219,0.5571757379367834,0.4829999999999996,0,[],[],0,0.030580971390008926,-67577505.29853739,244792089.90707666,1,0.0038923271847939927,-0.005514722325173073,0.07073396475024954,0,0.4069217273132951
