Series,$\hat{\Delta}_T$ (ATT),$\hat{\sigma}_{\Delta_T}$ (STD),P-value
12-m Log-Diff $CO_2$,0.0,0.055,0.969
Absolute $CO_2$,284600751.458,219029160.488,0.0
