Series,$\hat{\Delta}_T$ (ATT),$\hat{\sigma}_{\Delta_T}$ (STD),P-value
12-m Log-Diff $CO_2$,0.005,0.047,0.391
12-m Log $CO_2$,0.079,0.077,0.0
Absolute $CO_2$,2760504150.501,2856951193.79,0.0
