Series,$\hat{\Delta}_T$ (ATE),$\hat{\sigma}_{\Delta_T}$ (STD),p-value
12-m log-diff $CO_2$,-0.003,0.052,0.6
Log $CO_2$,-0.047,0.099,0.0
Absolute $CO_2$,-2055222646.304,4082385499.628,0.0
