Series,$\hat{\Delta}_T$ (ATE),$\hat{\sigma}_{\Delta_T}$ (STD),p-value
12-m log-diff $CO_2$,-0.003,0.052,0.6
Log $CO_2$,-0.062,0.075,0.0
Absolute $CO_2$,-2415090449.8,2949454527.212,0.0
