Series,$\hat{\Delta}_T$ (ATE),$\hat{\sigma}_{\Delta_T}$ (STD),p-value
12-m log-diff $CO_2$,-0.006,0.067,0.371
Log $CO_2$,-0.078,0.071,0.0
Absolute $CO_2$,-255722608.87,241625195.401,0.0
