Series,$\hat{\Delta}_T$ (ATE),$\hat{\sigma}_{\Delta_T}$ (STD),p-value
12-m log-diff $CO_2$,-0.006,0.067,0.371
Log $CO_2$,-0.108,0.069,0.0
Absolute $CO_2$,-366108573.624,231181881.232,0.0
