date,pop
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,0.000626900367080907
2001-02-01,0.0006338903254281547
2001-03-01,0.0006408795310264281
2001-04-01,0.0006478679840107304
2001-05-01,0.0006560249630105375
2001-06-01,0.0006641810351020183
2001-07-01,0.0006723362004379396
2001-08-01,0.0006816594956546851
2001-09-01,0.000690981721742645
2001-10-01,0.0007003028788901133
2001-11-01,0.0007657615474627733
2001-12-01,0.0008312088073125778
2002-01-01,0.0008966446615623624
2002-02-01,0.001129236914401588
2002-03-01,0.0013617484168158
2002-04-01,0.0015941792171183522
2002-05-01,0.001821269488377908
2002-06-01,0.002048281110223371
2002-07-01,0.002275214129344505
2002-08-01,0.0024991454694713866
2002-09-01,0.002722998918638808
2002-10-01,0.0029467745230924436
2002-11-01,0.0032722953023416324
2002-12-01,0.0035976321538093714
2003-01-01,0.003922785250544791
2003-02-01,0.004248197816554722
2003-03-01,0.004573316000030303
2003-04-01,0.004898140217420632
2003-05-01,0.005230818881209132
2003-06-01,0.005563196283116412
2003-07-01,0.005895272850519717
2003-08-01,0.006229371965883246
2003-09-01,0.0065631686130309674
2003-10-01,0.0068966632210916146
2003-11-01,0.007070717755553346
2003-12-01,0.0072445870942168256
2004-01-01,0.007418271535119203
2004-02-01,0.007425278671600921
2004-03-01,0.007432277143365695
2004-04-01,0.007439266966471791
2004-05-01,0.0074456327693752655
2004-06-01,0.007451990652654672
2004-07-01,0.007458340631067983
2004-08-01,0.007462367697495864
2004-09-01,0.007466389758544523
2004-10-01,0.00747040682353628
2004-11-01,0.007334814336857676
2004-12-01,0.0071993713290652295
2005-01-01,0.007064077551873993
2005-02-01,0.0067912093075612745
2005-03-01,0.006518606050192943
2005-04-01,0.006246267383851034
2005-05-01,0.005973592270159145
2005-06-01,0.00570118388880303
2005-07-01,0.005429041838507231
2005-08-01,0.0051560235554006795
2005-09-01,0.0048832712935578115
2005-10-01,0.00461078465422915
2005-11-01,0.004456426303875105
2005-12-01,0.004302193427864864
2006-01-01,0.004148085871435114
2006-02-01,0.004114069286426769
2006-03-01,0.00408007530975496
2006-04-01,0.004046103918856403
2006-05-01,0.004013851642653776
2006-06-01,0.0039816210939740415
2006-07-01,0.0039494122508578755
2006-08-01,0.003920083421572684
2006-09-01,0.003890774313465073
2006-10-01,0.003861484906639845
2006-11-01,0.00403682778589598
2006-12-01,0.004212024458325914
2007-01-01,0.0043870751094097216
2007-02-01,0.0047622449366855335
2007-03-01,0.0051370375989989725
2007-04-01,0.0055114536911098355
2007-05-01,0.005890567989244033
2007-06-01,0.0062692955679928275
2007-07-01,0.0066476370458872225
2007-08-01,0.007023886064995821
2007-09-01,0.00739975173852514
2007-10-01,0.007775234678547349
2007-11-01,0.007916021079019231
2007-12-01,0.008056645646121297
2008-01-01,0.008197108660123575
2008-02-01,0.008090500462245132
2008-03-01,0.007984028024896617
2008-04-01,0.007877691088317818
2008-05-01,0.007769153414670882
2008-06-01,0.007660755776438322
2008-07-01,0.007552497902157285
2008-08-01,0.007446070109889291
2008-09-01,0.007339779423048753
2008-10-01,0.007233625576269276
2008-11-01,0.007070729418277466
2008-12-01,0.00690801691301246
2009-01-01,0.006745487747906509
2009-02-01,0.006535901154112622
2009-03-01,0.006326515297967461
2009-04-01,0.006117329886627942
2009-05-01,0.005906615437904605
2009-06-01,0.005696105694504183
2009-07-01,0.00548580035360402
2009-08-01,0.0052723381644312894
2009-09-01,0.005059082796886827
2009-10-01,0.004846033945693051
2009-11-01,0.004735349336250749
2009-12-01,0.004624759279284518
2010-01-01,0.004514263653014439
2010-02-01,0.004495281772371129
2010-03-01,0.00447631373921098
2010-04-01,0.004457359538388772
2010-05-01,0.004432816076477053
2010-06-01,0.004408290691714001
2010-07-01,0.004383783364136917
2010-08-01,0.004365427932967236
2010-09-01,0.004347086036748493
2010-10-01,0.004328757660516658
2010-11-01,0.004247064794309807
2010-12-01,0.004165426016452756
2011-01-01,0.004083841272979782
2011-02-01,0.003942913399828996
2011-03-01,0.00380206582058662
2011-04-01,0.003661298465246432
2011-05-01,0.0035272718323895447
2011-06-01,0.0033933226827826957
2011-07-01,0.0032594509480503575
2011-08-01,0.0031206493858064732
2011-09-01,0.0029819283805139207
2011-10-01,0.0028432878607311807
2011-11-01,0.0027775736014561403
2011-12-01,0.0027118931730321094
2012-01-01,0.002646246549204534
2012-02-01,0.002668404265726565
2012-03-01,0.002690551987402756
2012-04-01,0.002712689721001027
2012-05-01,0.0027309192445024166
2012-06-01,0.0027491403383805846
2012-07-01,0.0027673530084832976
2012-08-01,0.0027827930501658216
2012-09-01,0.0027982260339882714
2012-10-01,0.0028136519647858904
2012-11-01,0.0027543931623981166
2012-12-01,0.002695157466767739
2013-01-01,0.002635944864270101
2013-02-01,0.0024943494303180103
2013-03-01,0.002352800964260382
2013-04-01,0.002211299441320591
2013-05-01,0.0020676259691576604
2013-06-01,0.0019240009210079734
2013-07-01,0.001780424270915404
2013-08-01,0.0016424278659954439
2013-09-01,0.0015044776382389102
2013-10-01,0.0013665735631676057
2013-11-01,0.0012072576213704167
2013-12-01,0.0010479689928999392
2014-01-01,0.0008887076687145168
2014-02-01,0.0007273149632958109
2014-03-01,0.0005659269055300342
2014-04-01,0.00040454349311147553
2014-05-01,0.00024040142179160284
2014-06-01,7.626416140738002e-05
2014-07-01,-8.786829046414368e-05
2014-08-01,-0.00025918053229645466
