date,co2_cap
2000-01-01,-0.1443429580787058
2000-02-01,-0.22176316876423574
2000-03-01,-0.24542738417966667
2000-04-01,-0.4017742442171256
2000-05-01,-0.5259615420223375
2000-06-01,-0.5170043290148573
2000-07-01,-0.5017120080538356
2000-08-01,-0.5622060827368538
2000-09-01,-0.48388981112657636
2000-10-01,-0.4295128883309883
2000-11-01,-0.3240331832749685
2000-12-01,-0.24984245129668964
2001-01-01,-0.21859841831970325
2001-02-01,-0.2511087022792747
2001-03-01,-0.31819783144717184
2001-04-01,-0.3553877689229034
2001-05-01,-0.5174526661741603
2001-06-01,-0.5247995911689052
2001-07-01,-0.5190871475491085
2001-08-01,-0.5671702633595105
2001-09-01,-0.5108437060735034
2001-10-01,-0.45482517330739125
2001-11-01,-0.2610677586805307
2001-12-01,-0.12057683323972244
2002-01-01,-0.09049594080808261
2002-02-01,-0.23473275054819254
2002-03-01,-0.249634881755457
2002-04-01,-0.3227569573203576
2002-05-01,-0.48514498506899545
2002-06-01,-0.4836824773481151
2002-07-01,-0.4731177011730574
2002-08-01,-0.5621788691438228
2002-09-01,-0.4858181809504544
2002-10-01,-0.3907909600226111
2002-11-01,-0.324869156932853
2002-12-01,-0.21873589585159187
2003-01-01,-0.13528367516712417
2003-02-01,-0.10591033017675223
2003-03-01,-0.18272905969122546
2003-04-01,-0.29234445158454103
2003-05-01,-0.45494407136511883
2003-06-01,-0.44323741684912477
2003-07-01,-0.43779991830766973
2003-08-01,-0.5121767087155745
2003-09-01,-0.4457054819757185
2003-10-01,-0.3346278143696987
2003-11-01,-0.2610267866945828
2003-12-01,-0.15009948335592765
2004-01-01,-0.09618757784197988
2004-02-01,-0.1468150469331031
2004-03-01,-0.14231564401803098
2004-04-01,-0.2937208963826166
2004-05-01,-0.38816776391732116
2004-06-01,-0.4442257282042855
2004-07-01,-0.41750814549514514
2004-08-01,-0.48202514886103653
2004-09-01,-0.4081570639778635
2004-10-01,-0.3661798641431058
2004-11-01,-0.23691252147528516
2004-12-01,-0.16712227137707844
2005-01-01,-0.09555066707543461
2005-02-01,-0.10924689638873761
2005-03-01,-0.161014446056858
2005-04-01,-0.30049104778707764
2005-05-01,-0.43915801208408595
2005-06-01,-0.4277222652755253
2005-07-01,-0.4162406616748471
2005-08-01,-0.49580247665644017
2005-09-01,-0.4262199681072085
2005-10-01,-0.3637915757707853
2005-11-01,-0.20030149915484183
2005-12-01,-0.07022700845597397
2006-01-01,-0.017883886220056804
2006-02-01,-0.1040242285963839
2006-03-01,-0.10942715364061092
2006-04-01,-0.34680116443575476
2006-05-01,-0.4642017713843364
2006-06-01,-0.44891501440648995
2006-07-01,-0.42284692828657927
2006-08-01,-0.5079492717342495
2006-09-01,-0.44123244681622353
2006-10-01,-0.4045564234862287
2006-11-01,-0.22220429331695482
2006-12-01,-0.14027959350732758
2007-01-01,-0.13235745594369036
2007-02-01,-0.1946649874568582
2007-03-01,-0.17271889392750991
2007-04-01,-0.3737140890109469
2007-05-01,-0.43224261719536233
2007-06-01,-0.4522728608076801
2007-07-01,-0.4356449411973767
2007-08-01,-0.5038285749103616
2007-09-01,-0.4514227087667098
2007-10-01,-0.3122658489839884
2007-11-01,-0.14797641002969236
2007-12-01,-0.0627837628144606
2008-01-01,-0.10557429194665637
2008-02-01,-0.1297855286438888
2008-03-01,-0.1697215928889199
2008-04-01,-0.30453055814177266
2008-05-01,-0.4945319547168715
2008-06-01,-0.4914585667114633
2008-07-01,-0.47037428519074514
2008-08-01,-0.5326591293436661
2008-09-01,-0.46819119189531905
2008-10-01,-0.3966986038665554
2008-11-01,-0.2463344042848655
2008-12-01,-0.11960878060837214
2009-01-01,-0.1708887261722022
2009-02-01,-0.2347817838562765
2009-03-01,-0.2895224048927335
2009-04-01,-0.48789722221911475
2009-05-01,-0.6336370267758453
2009-06-01,-0.6314287410307978
2009-07-01,-0.6006716395730005
2009-08-01,-0.6303442040615302
2009-09-01,-0.5838300357830392
2009-10-01,-0.4485732248176217
2009-11-01,-0.33836492195919643
2009-12-01,-0.20674058343566454
2010-01-01,-0.1445801938049503
2010-02-01,-0.24793346563324806
2010-03-01,-0.2542370576847358
2010-04-01,-0.4463938467869515
2010-05-01,-0.602673372351746
2010-06-01,-0.6165162706609502
2010-07-01,-0.5581052466766266
2010-08-01,-0.6311675434206496
2010-09-01,-0.5824259631124876
2010-10-01,-0.44699461739798896
2010-11-01,-0.3523672614375842
2010-12-01,-0.16904979139614898
2011-01-01,-0.20389211498282125
2011-02-01,-0.2815830487608523
2011-03-01,-0.2838881688518892
2011-04-01,-0.5162216233065702
2011-05-01,-0.5969998527480664
2011-06-01,-0.6313489870018503
2011-07-01,-0.5910171306709808
2011-08-01,-0.642870847221865
2011-09-01,-0.5727724174287345
2011-10-01,-0.5003281360553531
2011-11-01,-0.36981417291774904
2011-12-01,-0.2856164612234882
2012-01-01,-0.22189168623923042
2012-02-01,-0.16135362225850985
2012-03-01,-0.4012216813468967
2012-04-01,-0.5025125511726841
2012-05-01,-0.676387256624068
2012-06-01,-0.6603150652432787
2012-07-01,-0.6118196336396108
2012-08-01,-0.6533725677021687
2012-09-01,-0.6421721488772857
2012-10-01,-0.6065137541914556
2012-11-01,-0.48595312201167506
2012-12-01,-0.2695749435867629
2013-01-01,-0.2772880076313142
2013-02-01,-0.3007955449436954
2013-03-01,-0.3586675317894648
2013-04-01,-0.6014126506561338
2013-05-01,-0.7419969723698554
2013-06-01,-0.7745925706856448
2013-07-01,-0.7150257420862175
2013-08-01,-0.7613078358591325
